Current residence in --,Population (1yr ago) Est,MOE,Same house (1yr ago) Est,MOE,Same state of residence (1yr ago) Est,MOE,Different state of residence (1yr ago) Total Est,MOE,Alabama,MOE,Alaska,MOE,Arizona,MOE,Arkansas,MOE,California,MOE,Colorado,MOE,Connecticut,MOE,Delaware,MOE,District of Columbia ,MOE,Florida,MOE,Georgia,MOE,Hawaii,MOE,Idaho,MOE,Illinois,MOE,Indiana,MOE,Iowa,MOE,Kansas,MOE,Kentucky,MOE,Louisiana,MOE,Maine,MOE,Maryland,MOE,Massachusetts,MOE,Michigan,MOE,Minnesota,MOE,Mississippi,MOE,Missouri,MOE,Montana,MOE,Nebraska,MOE,Nevada,MOE,New Hampshire,MOE,New Jersey,MOE,New Mexico,MOE,New York,MOE,North Carolina,MOE,North Dakota,MOE,Ohio,MOE,Oklahoma,MOE,Oregon,MOE,Pennsylvania,MOE,Rhode Island,MOE,South Carolina,MOE,South Dakota,MOE,Tennessee,MOE,Texas,MOE,Utah,MOE,Vermont,MOE,Virginia,MOE,Washington,MOE,West Virginia,MOE,Wisconsin,MOE,Wyoming,MOE,Abroad(1yr ago) Est,Region
United States2,"317,635,720","+/- 28,922","270,873,397","+/- 189,370","37,146,496","+/- 176,254","7,530,129","+/- 67,868","100,809","+/- 7,872","40,552","+/- 5,584","184,476","+/- 10,448","76,673","+/- 5,961","643,710","+/- 19,315","182,945","+/- 10,538","103,343","+/- 7,858","30,881","+/- 3,868","64,736","+/- 6,061","445,320","+/- 18,347","249,302","+/- 12,286","60,459","+/- 6,680","55,885","+/- 7,103","337,592","+/- 15,676","141,616","+/- 9,838","81,054","+/- 6,586","99,652","+/- 8,681","109,026","+/- 9,770","100,167","+/- 9,039","37,053","+/- 4,804","181,803","+/- 9,295","174,793","+/- 9,660","180,337","+/- 10,025","127,471","+/- 7,137","81,358","+/- 7,950","155,529","+/- 10,047","32,620","+/- 4,402","53,210","+/- 4,926","99,409","+/- 8,583","41,885","+/- 4,363","227,380","+/- 11,097","68,415","+/- 7,552","448,855","+/- 15,975","237,206","+/- 12,969","31,867","+/- 3,992","213,236","+/- 11,251","98,771","+/- 8,195","109,240","+/- 6,876","262,887","+/- 11,409","29,918","+/- 3,393","134,555","+/- 10,304","25,769","+/- 3,405","176,961","+/- 11,726","445,343","+/- 13,136","84,071","+/- 7,704","22,135","+/- 3,420","268,593","+/- 14,659","178,528","+/- 10,174","51,953","+/- 4,620","109,243","+/- 6,234","31,537","+/- 4,780","2,085,698",All
Alabama,"4,801,599","+/- 3,420","4,113,945","+/- 22,379","561,019","+/- 21,500","114,876","+/- 8,513",N/A,N/A,767,+/- 643,"1,865","+/- 1,053","2,329","+/- 1,394","3,397","+/- 1,121","1,927","+/- 1,218",894,"+/- 1,013",77,+/- 132,521,+/- 479,"15,755","+/- 2,657","27,433","+/- 4,763",399,+/- 364,0,+/- 192,"2,400","+/- 1,253","1,184",+/- 546,478,+/- 421,"1,277",+/- 759,"1,365",+/- 534,"1,566",+/- 823,97,+/- 166,"1,435",+/- 819,446,+/- 296,"2,540",+/- 879,193,+/- 234,"7,442","+/- 2,015","1,174",+/- 794,120,+/- 153,339,+/- 391,539,+/- 464,166,+/- 272,193,+/- 222,773,+/- 514,"2,061",+/- 745,"3,974","+/- 1,400","1,162","+/- 1,248","1,513",+/- 788,725,+/- 515,593,+/- 453,"2,690","+/- 2,057",43,+/- 78,"1,968","+/- 1,134",103,+/- 140,"7,206","+/- 1,863","6,469","+/- 2,189",362,+/- 399,173,+/- 149,"4,772","+/- 2,094",871,+/- 494,445,+/- 374,491,+/- 334,164,+/- 266,"11,759",South_states
Alaska,"727,862","+/- 1,356","582,909","+/- 9,527","105,769","+/- 8,533","34,696","+/- 4,503",279,+/- 329,N/A,N/A,658,+/- 322,73,+/- 144,"3,062","+/- 1,226","1,815",+/- 906,109,+/- 104,0,+/- 149,0,+/- 149,"1,473","+/- 1,007","1,044",+/- 645,732,+/- 626,544,+/- 340,819,+/- 656,138,+/- 142,193,+/- 199,434,+/- 595,238,+/- 306,210,+/- 206,17,+/- 32,444,+/- 606,449,+/- 346,955,+/- 959,"1,173","+/- 1,134",0,+/- 149,905,+/- 453,461,+/- 405,233,+/- 343,"2,129","+/- 1,225",338,+/- 393,0,+/- 149,766,+/- 744,"1,028",+/- 974,"2,078",+/- 989,71,+/- 82,408,+/- 322,780,+/- 563,"1,389",+/- 713,263,+/- 232,0,+/- 149,873,+/- 854,312,+/- 270,133,+/- 114,"2,196",+/- 915,337,+/- 317,53,+/- 86,521,+/- 387,"3,988","+/- 1,286",0,+/- 149,161,+/- 105,414,+/- 422,"4,488",West_states
Arizona,"6,747,595","+/- 4,243","5,536,087","+/- 26,178","910,911","+/- 24,238","253,281","+/- 12,395",607,+/- 504,"2,519","+/- 1,281",N/A,N/A,553,+/- 323,"54,646","+/- 6,120","11,039","+/- 2,566","2,417","+/- 1,098",927,+/- 833,330,+/- 306,"7,833","+/- 2,560","3,671","+/- 1,286","2,069",+/- 842,"2,835","+/- 1,280","11,017","+/- 2,344","4,087","+/- 1,875","3,963","+/- 1,243","2,625","+/- 2,099","3,599","+/- 1,415","1,801","+/- 1,008",780,+/- 584,"2,105",+/- 963,"3,030","+/- 1,602","9,069","+/- 2,478","8,499","+/- 2,397",544,+/- 485,"4,069","+/- 1,439","1,798",+/- 918,986,+/- 512,"7,153","+/- 2,481",445,+/- 729,"2,782","+/- 1,200","8,030","+/- 1,919","5,564","+/- 1,315","5,323","+/- 2,232","1,150",+/- 968,"5,147","+/- 2,245","3,906","+/- 1,898","7,163","+/- 1,826","3,910","+/- 1,339",298,+/- 334,842,+/- 539,"1,582",+/- 709,"3,253","+/- 1,468","13,025","+/- 2,104","10,165","+/- 3,321",406,+/- 425,"3,801","+/- 1,466","14,183","+/- 3,309",0,+/- 201,"5,262","+/- 1,630","2,473","+/- 1,694","47,316",West_states
Arkansas,"2,938,341","+/- 3,200","2,440,359","+/- 17,443","407,352","+/- 17,073","81,594","+/- 7,126",956,+/- 818,205,+/- 298,"1,683",+/- 990,N/A,N/A,"5,075","+/- 1,603","2,429","+/- 1,953",0,+/- 190,79,+/- 143,196,+/- 186,"2,641","+/- 1,029","2,407","+/- 1,551",45,+/- 73,214,+/- 213,"2,999","+/- 1,378",784,+/- 521,589,+/- 357,"2,036","+/- 1,334",497,+/- 457,"3,601","+/- 1,494",0,+/- 190,70,+/- 80,521,+/- 513,"1,922","+/- 1,542",114,+/- 141,"3,415","+/- 1,178","6,367","+/- 1,828","1,058",+/- 918,337,+/- 407,292,+/- 275,0,+/- 190,122,+/- 157,645,+/- 459,395,+/- 413,"2,006","+/- 1,071",143,+/- 160,777,+/- 760,"7,505","+/- 2,672",34,+/- 43,358,+/- 300,0,+/- 190,311,+/- 352,146,+/- 177,"6,033","+/- 2,819","17,708","+/- 2,713",445,+/- 461,36,+/- 75,"2,355","+/- 1,818",313,+/- 294,143,+/- 155,"1,312","+/- 1,055",275,+/- 251,"9,036",South_states
California,"38,675,135","+/- 11,051","33,446,324","+/- 47,467","4,377,667","+/- 41,961","514,477","+/- 19,053","5,273","+/- 1,963","6,022","+/- 2,203","34,204","+/- 4,975","2,867","+/- 1,212",N/A,N/A,"21,157","+/- 3,124","6,205","+/- 1,807","1,118",+/- 602,"3,908","+/- 1,018","25,638","+/- 3,787","11,630","+/- 2,207","10,475","+/- 1,968","5,840","+/- 1,777","26,189","+/- 3,892","8,650","+/- 3,545","1,394",+/- 603,"3,943","+/- 1,290","3,781","+/- 1,513","6,324","+/- 1,425","1,745","+/- 1,248","9,981","+/- 2,206","12,628","+/- 2,708","8,852","+/- 2,150","4,887","+/- 1,144","2,539","+/- 1,501","6,465","+/- 1,991","2,017",+/- 938,"3,282","+/- 1,586","25,332","+/- 4,234","1,859","+/- 1,159","12,890","+/- 3,279","5,239","+/- 2,602","36,896","+/- 4,558","12,463","+/- 3,023","1,035",+/- 555,"12,836","+/- 2,831","8,350","+/- 2,743","20,838","+/- 3,311","13,595","+/- 2,972","2,179","+/- 1,037","6,301","+/- 1,621",610,+/- 389,"8,781","+/- 2,577","41,713","+/- 4,725","8,814","+/- 1,962",766,+/- 574,"15,009","+/- 2,445","33,131","+/- 4,712",413,+/- 293,"6,741","+/- 1,729","1,672",+/- 666,"336,667",West_states
Colorado,"5,393,067","+/- 3,719","4,404,058","+/- 21,899","728,077","+/- 17,761","227,445","+/- 12,112","2,392","+/- 1,368","1,653","+/- 1,107","10,254","+/- 2,666","1,527",+/- 974,"29,029","+/- 4,371",N/A,N/A,"2,253","+/- 1,236",77,+/- 123,"1,132",+/- 697,"12,623","+/- 2,350","4,644","+/- 1,398","4,277","+/- 2,037","1,692",+/- 984,"11,398","+/- 3,052","1,982",+/- 927,"2,718","+/- 1,171","6,294","+/- 1,725","1,678",+/- 884,"3,007","+/- 1,366",185,+/- 220,"2,286","+/- 1,007","2,378",+/- 923,"3,739","+/- 1,208","5,443","+/- 2,697",881,+/- 862,"6,798","+/- 2,208",910,+/- 485,"4,201","+/- 1,397","3,723","+/- 1,305",583,+/- 426,"3,227","+/- 1,225","6,393","+/- 1,878","5,748","+/- 1,547","3,489","+/- 1,085","1,388","+/- 1,191","3,263",+/- 988,"3,072","+/- 1,103","4,836","+/- 1,551","4,870","+/- 1,788",43,+/- 68,"2,410","+/- 1,155",732,+/- 339,"2,314","+/- 1,086","25,268","+/- 3,451","4,064","+/- 1,354","1,094",+/- 801,"7,686","+/- 3,039","7,368","+/- 2,333","1,232","+/- 1,512","5,916","+/- 2,214","3,275","+/- 1,427","33,487",West_states
Connecticut,"3,554,844","+/- 3,252","3,109,580","+/- 17,815","340,126","+/- 14,637","76,997","+/- 6,705",163,+/- 129,68,+/- 112,187,+/- 191,0,+/- 198,"4,240","+/- 1,220",467,+/- 357,N/A,N/A,344,+/- 390,379,+/- 245,"6,122","+/- 1,648","1,268",+/- 790,429,+/- 291,51,+/- 86,"1,696",+/- 711,777,+/- 570,362,+/- 411,135,+/- 176,30,+/- 51,139,+/- 135,939,+/- 614,917,+/- 578,"9,498","+/- 1,742",467,+/- 373,548,+/- 412,84,+/- 104,638,+/- 512,0,+/- 198,0,+/- 198,127,+/- 201,"1,202",+/- 519,"3,688","+/- 1,318",725,+/- 715,"23,820","+/- 3,787","1,394",+/- 726,95,+/- 157,"1,836","+/- 1,063",265,+/- 207,290,+/- 233,"2,348",+/- 913,"3,035","+/- 1,415",926,+/- 597,362,+/- 440,237,+/- 172,"2,519","+/- 1,283",95,+/- 144,262,+/- 215,"2,301","+/- 1,491","1,236",+/- 677,63,+/- 137,223,+/- 230,0,+/- 198,"28,141",Northeast_states
Delaware,"935,813","+/- 1,401","800,701","+/- 9,561","86,009","+/- 7,715","44,495","+/- 5,586",76,+/- 136,344,+/- 370,282,+/- 318,0,+/- 190,725,+/- 586,192,+/- 316,508,+/- 308,N/A,N/A,279,+/- 221,883,+/- 456,327,+/- 409,0,+/- 190,0,+/- 190,632,+/- 754,207,+/- 235,124,+/- 202,154,+/- 254,75,+/- 119,0,+/- 190,376,+/- 488,"6,749","+/- 1,688","1,161",+/- 938,162,+/- 192,81,+/- 137,26,+/- 58,82,+/- 159,0,+/- 190,0,+/- 190,0,+/- 190,47,+/- 73,"4,345","+/- 1,246",846,"+/- 1,186","4,759","+/- 1,436","1,504","+/- 1,168",423,+/- 694,92,+/- 166,54,+/- 91,90,+/- 116,"13,965","+/- 3,191",0,+/- 190,659,+/- 647,0,+/- 190,82,+/- 119,"1,423",+/- 939,32,+/- 53,78,+/- 112,"2,112","+/- 1,826",420,+/- 596,119,+/- 204,0,+/- 190,0,+/- 190,"4,608",South_states
District of Columbia ,"663,006","+/- 1,528","525,024","+/- 7,553","67,188","+/- 5,688","59,905","+/- 4,750",359,+/- 302,235,+/- 257,367,+/- 293,203,+/- 200,"4,119","+/- 1,258",433,+/- 360,"1,292",+/- 648,252,+/- 251,N/A,N/A,"2,731",+/- 936,"1,013",+/- 533,52,+/- 122,5,+/- 11,785,+/- 357,748,+/- 460,135,+/- 169,33,+/- 77,275,+/- 252,392,+/- 388,258,+/- 208,"14,726","+/- 2,234","2,876","+/- 1,070","1,308",+/- 539,545,+/- 495,338,+/- 211,141,+/- 139,0,+/- 200,674,+/- 423,68,+/- 92,47,+/- 59,"1,804",+/- 800,40,+/- 68,"5,133","+/- 1,205","1,501",+/- 695,0,+/- 200,"1,027",+/- 713,150,+/- 204,157,+/- 211,"1,999",+/- 637,234,+/- 208,"1,806","+/- 1,518",9,+/- 21,873,+/- 430,"1,314",+/- 584,177,+/- 187,117,+/- 143,"8,028","+/- 1,715",134,+/- 164,478,+/- 432,514,+/- 421,0,+/- 200,"10,889",South_states
