Current residence in --,Population (1yr ago) Est,MOE,Same house (1yr ago) Est,MOE,Same state of residence (1yr ago) Est,MOE,Different state of residence (1yr ago) Total Est,MOE,Alabama,MOE,Alaska,MOE,Arizona,MOE,Arkansas,MOE,California,MOE,Colorado,MOE,Connecticut,MOE,Delaware,MOE,District of Columbia ,MOE,Florida,MOE,Georgia,MOE,Hawaii,MOE,Idaho,MOE,Illinois,MOE,Indiana,MOE,Iowa,MOE,Kansas,MOE,Kentucky,MOE,Louisiana,MOE,Maine,MOE,Maryland,MOE,Massachusetts,MOE,Michigan,MOE,Minnesota,MOE,Mississippi,MOE,Missouri,MOE,Montana,MOE,Nebraska,MOE,Nevada,MOE,New Hampshire,MOE,New Jersey,MOE,New Mexico,MOE,New York,MOE,North Carolina,MOE,North Dakota,MOE,Ohio,MOE,Oklahoma,MOE,Oregon,MOE,Pennsylvania,MOE,Rhode Island,MOE,South Carolina,MOE,South Dakota,MOE,Tennessee,MOE,Texas,MOE,Utah,MOE,Vermont,MOE,Virginia,MOE,Washington,MOE,West Virginia,MOE,Wisconsin,MOE,Wyoming,MOE,Abroad(1yr ago) Est,Region
United States1,"305,628,607","+/- 29,823","258,552,348","+/- 236,128","38,582,885","+/- 213,239","6,743,229","+/- 69,387","99,221","+/- 8,532","94,692","+/- 9,780","176,768","+/- 9,764","64,264","+/- 6,502","573,988","+/- 20,898","140,620","+/- 8,392","89,360","+/- 8,104","30,055","+/- 4,817","56,052","+/- 5,274","427,853","+/- 16,117","244,992","+/- 13,712","49,218","+/- 5,580","53,122","+/- 6,197","277,579","+/- 14,177","130,170","+/- 9,685","66,922","+/- 5,441","90,681","+/- 7,300","92,999","+/- 8,240","88,131","+/- 8,540","32,209","+/- 4,475","159,866","+/- 9,741","144,152","+/- 8,102","178,207","+/- 11,238","104,765","+/- 7,734","68,363","+/- 7,286","148,055","+/- 11,141","35,870","+/- 4,482","43,531","+/- 5,996","109,409","+/- 10,422","38,399","+/- 4,262","193,972","+/- 11,560","50,438","+/- 5,032","363,139","+/- 16,245","207,025","+/- 11,068","24,450","+/- 3,757","188,013","+/- 11,207","90,616","+/- 7,414","100,185","+/- 8,825","209,810","+/- 10,357","24,948","+/- 3,127","117,569","+/- 9,315","27,915","+/- 3,665","143,135","+/- 9,159","411,641","+/- 16,805","75,541","+/- 7,183","18,380","+/- 3,009","232,002","+/- 11,248","166,162","+/- 10,010","49,349","+/- 5,605","111,240","+/- 9,166","28,186","+/- 3,185","1,750,145",All
Alabama,"4,729,509","+/- 3,716","3,987,155","+/- 21,708","620,465","+/- 21,448","108,723","+/- 8,781",N/A,N/A,"3,013","+/- 1,452",676,+/- 606,"1,481","+/- 1,038","3,827","+/- 1,660","1,278",+/- 778,454,+/- 694,811,+/- 694,211,+/- 186,"15,062","+/- 3,138","21,644","+/- 3,955",267,+/- 440,304,+/- 399,"2,503","+/- 1,224","3,945","+/- 1,979",669,+/- 882,649,+/- 516,"1,967","+/- 1,192","1,901",+/- 868,97,+/- 158,716,+/- 458,435,+/- 396,"2,334","+/- 1,294",386,+/- 358,"7,233","+/- 2,367","1,373","+/- 1,180",229,+/- 182,169,+/- 286,265,+/- 297,0,+/- 273,356,+/- 285,650,+/- 749,"3,686","+/- 2,920","2,371",+/- 945,169,+/- 213,"2,222",+/- 931,880,+/- 609,485,+/- 435,"1,477",+/- 696,0,+/- 273,"2,368","+/- 1,142",31,+/- 62,"7,409","+/- 1,926","6,500","+/- 2,016","1,336","+/- 1,129",0,+/- 273,"2,490","+/- 1,026","1,171",+/- 756,41,+/- 73,"1,155",+/- 895,27,+/- 52,"13,166",South_states
Alaska,"702,974","+/- 1,600","565,031","+/- 7,596","95,878","+/- 7,984","36,326","+/- 3,708",477,+/- 790,N/A,N/A,"1,354",+/- 805,47,+/- 78,"3,906","+/- 1,041","1,930",+/- 866,0,+/- 246,0,+/- 246,14,+/- 23,"2,315","+/- 1,026","1,251",+/- 902,"1,705","+/- 1,289",895,+/- 524,388,+/- 293,9,+/- 24,262,+/- 349,106,+/- 107,"1,440","+/- 1,506",100,+/- 171,574,+/- 655,704,+/- 460,107,+/- 183,923,+/- 814,530,+/- 409,263,+/- 386,0,+/- 246,616,+/- 507,215,+/- 259,240,+/- 247,316,+/- 368,413,+/- 501,421,+/- 446,255,+/- 206,698,+/- 587,69,+/- 89,156,+/- 213,"1,455",+/- 971,"1,793","+/- 1,104",126,+/- 164,0,+/- 246,121,+/- 153,531,+/- 817,477,+/- 341,"4,123","+/- 1,774","1,274",+/- 926,353,+/- 429,714,+/- 681,"2,421",+/- 790,0,+/- 246,158,+/- 198,81,+/- 131,"5,739",West_states
Arizona,"6,332,786","+/- 4,439","5,069,002","+/- 35,057","1,001,991","+/- 32,027","222,725","+/- 11,873",416,+/- 305,"3,109","+/- 1,297",N/A,N/A,689,+/- 415,"47,164","+/- 6,018","7,687","+/- 2,494",479,+/- 386,738,+/- 774,0,+/- 305,"7,712","+/- 2,149","4,261","+/- 1,828","1,966",+/- 928,"2,147",+/- 984,"12,250","+/- 3,263","2,690","+/- 1,358","3,008","+/- 1,405","1,935","+/- 1,008","1,705",+/- 928,"2,014","+/- 1,697",241,+/- 308,"1,284","+/- 1,052","1,449",+/- 975,"6,354","+/- 1,796","5,421","+/- 1,542",272,+/- 238,"4,567","+/- 1,621","1,343","+/- 1,038","1,750","+/- 1,130","10,342","+/- 3,881",64,+/- 105,"1,782",+/- 762,"4,419","+/- 1,430","6,618","+/- 2,661","4,463","+/- 1,627",826,+/- 612,"5,225","+/- 1,513","2,910","+/- 1,310","5,430","+/- 1,887","5,535","+/- 2,842",403,+/- 336,"2,310","+/- 1,189","1,351",+/- 843,"3,061","+/- 1,643","14,705","+/- 3,301","7,164","+/- 3,154",664,+/- 498,"3,413","+/- 1,613","12,645","+/- 2,459",595,+/- 563,"5,556","+/- 1,827",593,+/- 393,"39,068",West_states
Arkansas,"2,888,304","+/- 2,453","2,387,806","+/- 18,627","412,997","+/- 17,485","79,127","+/- 7,901","1,405","+/- 1,001",934,+/- 798,777,+/- 557,N/A,N/A,"4,457","+/- 1,991","2,535","+/- 1,149",451,+/- 315,0,+/- 273,154,+/- 264,"3,578","+/- 1,239","3,921","+/- 2,077",129,+/- 166,618,+/- 754,"3,221","+/- 1,474",722,+/- 498,85,+/- 143,"3,611","+/- 1,704","2,540","+/- 1,895","4,012","+/- 1,625",0,+/- 273,306,+/- 254,190,+/- 196,"1,506",+/- 674,222,+/- 153,"2,764","+/- 1,337","7,320","+/- 2,181",85,+/- 159,394,+/- 538,67,+/- 104,0,+/- 273,77,+/- 130,0,+/- 273,289,+/- 336,"1,561",+/- 900,0,+/- 273,"1,137",+/- 811,"8,607","+/- 3,434",239,+/- 174,731,+/- 570,0,+/- 273,"1,496",+/- 983,243,+/- 264,"2,653","+/- 1,121","13,707","+/- 2,911",361,+/- 322,0,+/- 273,494,+/- 382,264,+/- 228,0,+/- 273,821,+/- 503,443,+/- 513,"8,374",South_states
California,"36,907,897","+/- 10,889","30,790,221","+/- 71,574","5,413,287","+/- 66,460","444,749","+/- 18,415","3,364","+/- 1,977","9,579","+/- 2,911","33,854","+/- 4,816","4,172","+/- 1,340",N/A,N/A,"15,662","+/- 3,236","4,631","+/- 1,802",643,+/- 408,"3,683","+/- 1,306","20,362","+/- 4,008","8,820","+/- 2,545","9,528","+/- 2,191","5,719","+/- 1,572","16,482","+/- 2,806","6,550","+/- 1,860","3,163","+/- 1,259","3,857","+/- 1,813","3,394","+/- 1,797","2,989","+/- 1,207","1,796","+/- 1,139","10,626","+/- 2,848","11,969","+/- 2,774","10,435","+/- 2,487","5,095","+/- 1,319","2,757","+/- 1,338","6,921","+/- 2,357","3,009","+/- 1,511","3,062","+/- 1,860","27,724","+/- 4,878","1,614","+/- 1,059","10,108","+/- 2,848","4,632","+/- 1,266","20,981","+/- 2,977","9,593","+/- 2,005",392,+/- 343,"8,170","+/- 2,399","5,708","+/- 1,591","20,913","+/- 3,580","9,948","+/- 1,991",526,+/- 264,"5,016","+/- 2,183","1,604","+/- 1,117","4,349","+/- 1,174","36,582","+/- 5,299","10,653","+/- 2,235",525,+/- 369,"14,232","+/- 2,597","30,544","+/- 4,481","1,446",+/- 919,"6,031","+/- 2,181","1,336",+/- 664,"259,640",West_states
Colorado,"4,988,190","+/- 3,936","4,042,039","+/- 25,546","725,413","+/- 23,003","186,366","+/- 9,897",954,+/- 803,"2,225","+/- 1,220","12,287","+/- 2,324","1,034",+/- 739,"26,089","+/- 4,183",N/A,N/A,459,+/- 360,486,+/- 486,479,+/- 381,"8,849","+/- 2,300","6,445","+/- 2,553","2,355","+/- 1,220",839,+/- 572,"6,950","+/- 1,968","3,296","+/- 1,584","2,140","+/- 1,179","4,308","+/- 1,577","1,961","+/- 1,194",968,+/- 664,532,+/- 385,"1,532",+/- 978,"2,242",+/- 778,"4,587","+/- 1,679","2,878","+/- 1,093","1,277",+/- 883,"1,978",+/- 803,"2,042","+/- 1,490","4,065","+/- 1,455","4,131","+/- 1,784",791,+/- 521,"1,259",+/- 537,"3,921","+/- 1,326","4,594","+/- 1,518","2,940","+/- 1,376",802,+/- 598,"2,838","+/- 1,325","3,464","+/- 1,440","4,330","+/- 1,962","3,928","+/- 1,124",192,+/- 248,"1,231",+/- 796,"1,847",+/- 826,"1,628",+/- 706,"22,253","+/- 4,494","4,748","+/- 1,658",350,+/- 246,"2,739","+/- 1,077","7,583","+/- 3,004",623,+/- 493,"2,499","+/- 1,153","4,418","+/- 1,439","34,372",West_states
Connecticut,"3,541,146","+/- 2,779","3,100,742","+/- 16,358","342,904","+/- 15,404","77,333","+/- 6,651",896,+/- 891,0,+/- 281,664,+/- 484,334,+/- 517,"4,479","+/- 1,653",547,+/- 487,N/A,N/A,149,+/- 227,331,+/- 343,"9,207","+/- 2,532",748,+/- 467,182,+/- 171,147,+/- 130,"3,391","+/- 1,847","1,074",+/- 798,108,+/- 131,0,+/- 281,400,+/- 430,0,+/- 281,528,+/- 447,"1,531",+/- 814,"8,510","+/- 2,107",770,+/- 486,934,+/- 659,67,+/- 111,42,+/- 68,0,+/- 281,0,+/- 281,507,+/- 424,"1,049",+/- 628,"3,475","+/- 1,175",112,+/- 189,"20,727","+/- 3,325","1,345",+/- 587,0,+/- 281,"1,296",+/- 710,145,+/- 171,640,+/- 592,"1,955",+/- 808,"1,728",+/- 796,"1,140",+/- 627,0,+/- 281,430,+/- 389,"1,887","+/- 1,100",0,+/- 281,458,+/- 419,"1,735",+/- 691,"2,084","+/- 1,631",442,+/- 674,"1,092","+/- 1,321",47,+/- 78,"20,167",Northeast_states
Delaware,"889,812","+/- 1,573","764,640","+/- 9,145","90,001","+/- 8,498","30,759","+/- 4,030",128,+/- 211,68,+/- 111,60,+/- 78,0,+/- 265,353,+/- 290,178,+/- 249,714,+/- 693,N/A,N/A,432,+/- 467,"2,362",+/- 996,585,+/- 575,0,+/- 265,0,+/- 265,612,+/- 583,0,+/- 265,0,+/- 265,28,+/- 47,163,+/- 273,0,+/- 265,294,+/- 406,"4,969","+/- 1,144",689,+/- 538,61,+/- 102,55,+/- 92,0,+/- 265,539,+/- 842,73,+/- 120,0,+/- 265,106,+/- 183,139,+/- 246,"3,678",+/- 935,59,+/- 98,"4,251","+/- 1,555",424,+/- 466,0,+/- 265,325,+/- 339,0,+/- 265,0,+/- 265,"7,318","+/- 2,368",149,+/- 241,195,+/- 272,0,+/- 265,146,+/- 248,178,+/- 313,0,+/- 265,0,+/- 265,"1,051",+/- 538,377,+/- 280,0,+/- 265,0,+/- 265,0,+/- 265,"4,412",South_states
District of Columbia ,"596,747","+/- 1,124","474,676","+/- 8,281","63,766","+/- 6,163","51,244","+/- 4,828",360,+/- 418,591,+/- 529,662,+/- 466,155,+/- 195,"4,205","+/- 1,255",656,+/- 637,926,+/- 592,0,+/- 292,N/A,N/A,"1,100",+/- 609,"1,597",+/- 795,0,+/- 292,0,+/- 292,615,+/- 373,711,+/- 461,392,+/- 377,83,+/- 137,94,+/- 155,0,+/- 292,76,+/- 121,"13,503","+/- 2,647","1,376",+/- 540,126,+/- 153,87,+/- 105,0,+/- 292,272,+/- 371,0,+/- 292,62,+/- 103,0,+/- 292,137,+/- 136,"1,924",+/- 694,61,+/- 100,"3,852","+/- 1,325","1,897","+/- 1,089",98,+/- 165,598,+/- 359,0,+/- 292,601,+/- 520,"2,378",+/- 771,249,+/- 206,380,+/- 339,0,+/- 292,591,+/- 543,"1,180",+/- 605,0,+/- 292,199,+/- 245,"7,915","+/- 1,638",284,+/- 220,860,+/- 754,391,+/- 325,0,+/- 292,"7,061",South_states
