RegionID,RegionName,SizeRank,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01
9,California,1,161327,161154,161021,160947,160952,161001,161175,161376,161653,161695,161802,161989,162465,163029,163622,164347,165119,165980,166756,167658,168683,170105,171678,173189,174477,175641,176845,177937,179124,180416,181782,183039,184107,185364,186694,188088,189346,190659,192211,193857,195319,196632,198172,200037,202094,204099,206015,207982,210092,212388,214773,217235,219864,222583,225214,227835,230482,233025,235665,238421,241334,243949,246256,248301,250309,252360,254511,256641,258783,260958,263309,265731,268349,271154,274436,278155,282097,285969,289877,294022,298299,302406,306170,309943,313734,317657,321045,324769,328877,333670,338461,343599,348724,354622,360906,367596,374445,382123,390822,399394,407381,414978,422560,429720,437023,443781,451083,458193,465735,472366,478519,484777,491269,497989,504357,509542,514152,517984,521226,524310,526602,529146,530475,530956,530611,529150,527428,525924,524450,522973,520979,518768,516485,513037,509304,504760,499980,494297,487656,480920,473404,465897,456573,445958,434385,422990,412454,401897,391989,382975,374917,366021,357336,349283,344238,339810,335792,332178,329622,328362,327525,326966,327016,328563,330562,332086,331977,332859,334114,335903,335569,334424,332890,331688,330057,327806,325857,324193,322768,320599,318393,315371,313578,312181,310818,309213,307430,306730,305598,304917,304419,304644,305391,306970,308926,311263,314207,317604,321791,325654,330745,335760,341695,348244,355547,363026,370576,378021,385244,391650,397214,402343,406789,411287,414993,417196,418285,418936,419799,421122,421849,423111,424459,426872,428660,430577,432740,435964,438677,441508,443708,445813,448339,451253,454452,456976,460460,463533,466197,467910,470584,473168,475904,478300,481317,484102,487121,489685,491896,494308,496916,500047,502903,506170,509669,512578,515274,518213,521597,525625,529784,534151,538495,542284,545110,547217,549150,551327,552948,553965,554703,555421,555282,554729,553595,553169,553549,554281,555050,556081,557569,559533,561558,563566,566414,569687
54,Texas,2,97784,97925,98042,98133,98248,98399,98573,98788,99023,99041,99036,99019,99149,99235,99363,99493,99670,99852,100100,100325,100563,101037,101490,101938,102061,102267,102474,102774,103002,103217,103284,103317,103322,103542,104029,104698,105442,106132,106815,107470,108028,108491,109028,109619,110213,110600,110880,111048,111235,111272,111307,111301,111484,111728,111975,112267,112586,112804,112794,112629,112532,112617,112724,112851,112898,113002,113124,113213,113298,113408,113644,113991,114409,114832,115317,115795,116288,116706,117090,117485,117871,118146,118233,118217,118256,118388,118625,118848,119124,119361,119670,119944,120260,120828,121858,123205,124340,125182,125673,126267,126810,127474,128080,128667,129244,129867,130270,130519,130697,130952,131345,131671,132009,132290,132473,132774,133005,133366,133769,134222,134659,135175,135705,136248,136717,137218,137876,138437,139013,139412,139707,139911,140227,140586,141001,141299,141766,142214,142609,142873,143103,142903,142507,141954,141611,141226,140855,140565,140163,139669,139130,138563,138014,137722,137706,137774,137657,137502,137363,137334,137254,137203,137134,137343,137513,137609,137594,137614,137714,137745,137632,137173,136651,136126,135702,135193,134770,134363,133842,133274,132706,132246,131823,131641,131617,131712,131735,131611,131444,131418,131655,132001,132299,132620,132974,133400,133781,134072,134353,134804,135391,136077,136714,137465,138303,139161,140029,140919,141854,142886,143972,145050,146002,146867,147757,148547,149310,150106,151022,151896,152839,153779,154750,155717,156722,157739,158749,159830,160934,161962,162974,163967,164930,165815,166756,167614,168511,169451,170363,171249,172107,173137,174110,175164,176087,177070,177960,179068,180244,181306,182364,183300,184301,185147,186008,186771,187543,188372,189347,190328,191212,191975,192786,193803,194951,196052,197077,197989,198931,199700,200594,201365,202289,203176,204061,204744,205282,205858,206453,207116,207728,208377,208811,209229,209497,209818
43,New York,3,119346,119247,119181,119101,119024,118981,118987,119023,119104,119057,119272,119504,119804,119904,120032,120283,120522,120758,120920,121270,121642,122383,122807,123210,123274,123478,123684,123767,124091,124500,125155,125533,125925,126111,126535,126991,127712,128492,129327,130433,131322,132199,132814,133504,134125,134730,135591,136589,137715,138703,139667,140399,141073,141714,142483,143432,144437,145469,146302,147129,147934,148834,149747,150713,151716,152712,153790,154903,156069,157255,158423,159472,160556,161655,162857,164096,165377,166641,167870,169165,170574,171976,173431,175136,176733,178250,179580,180928,182493,184184,185935,187400,188762,190222,191696,193035,194437,196007,197810,199658,201374,203093,204724,206598,208381,210210,212051,213810,215689,217533,219336,221167,223026,225015,226971,228758,230573,232151,233614,234922,236109,237142,238154,239003,239722,240125,240421,240593,240757,240861,240996,241175,241222,241384,241428,241559,241637,241650,241855,242069,242071,242016,241670,241348,240779,240040,239165,238136,237145,236099,234799,233408,232136,230934,229866,228782,227827,226899,225984,225192,224528,224148,224030,224025,224038,223894,223860,223776,223983,224105,224408,224451,224176,223590,222767,222050,221291,220810,220304,219854,219069,218267,217273,216506,215949,215581,215325,214920,214579,214187,213718,213344,213065,213036,213084,213193,213350,213524,213617,213816,214076,214376,214848,215236,215822,216343,216992,217625,218177,218700,219338,219986,220574,221146,221685,222320,222770,223140,223403,223582,223802,224043,224357,224710,225169,225591,225872,226030,226296,226677,227168,227744,228320,228911,229363,229737,229971,230253,230876,231681,232447,233065,233538,234094,234741,235437,236279,237162,238252,239214,239938,240542,241411,242562,243934,245081,246100,247034,247985,249056,250004,251131,252247,253389,254393,255309,256321,257541,258868,260216,261371,262303,263080,263803,264628,265535,266347,267093,267665,268153,268581,269000,269501,270068,270732,271319
14,Florida,4,103686,103906,104147,104377,104583,104728,104881,105051,105259,105293,105385,105487,105808,106105,106373,106631,106904,107221,107506,107838,108171,108880,109472,110000,110119,110312,110463,110674,110976,111446,111998,112402,112720,112823,113049,113320,113798,114282,114939,115624,116237,116673,117053,117567,118131,118726,119328,120006,120736,121428,122061,122666,123282,123974,124712,125506,126326,127176,128062,128958,129870,130808,131764,132797,133863,134989,136125,137245,138338,139409,140431,141440,142465,143535,144641,145742,146899,148030,149229,150450,151843,153295,154836,156355,157875,159332,160702,162026,163356,164863,166546,168370,170146,171971,173829,175760,177675,179815,182210,184870,187771,190772,193816,196854,200109,203581,207278,211175,215351,219834,224726,230073,235535,240967,246087,251043,255780,260184,264102,267977,271804,275206,277758,279274,280159,280276,280102,279651,278772,277739,276497,274995,272971,270599,267729,264535,261195,257969,254671,251160,247514,243513,239377,234860,230547,225950,221756,217446,213144,208876,204516,200011,195667,191593,187950,184454,180907,177750,174813,172583,170568,168749,167262,166399,165660,165054,164348,163877,163433,162923,162151,161049,159739,158332,156828,155173,153600,151994,150500,148929,147509,146155,145089,144116,143444,142929,142639,142448,142302,142269,142295,142590,143071,143647,144306,145084,145972,146911,147921,149001,150257,151746,153427,155152,156900,158834,160782,162881,165042,167254,169233,171111,172815,174402,175749,177065,178186,179223,180096,180960,181580,182289,183274,184411,185546,186592,187750,188902,190061,191264,192562,193795,195201,196661,198125,199412,200846,202373,204007,205408,206821,208153,209633,211194,212688,214039,215276,216691,218054,219498,220835,222240,223789,225316,226845,228212,229716,231169,232617,233958,235302,236309,237445,238819,240427,242032,243370,244634,245844,247082,248236,249330,250476,251525,252260,252679,253110,253543,254131,254842,255523,256220,256984,257787,258531,259483
21,Illinois,5,138628,138108,137798,137369,137823,138524,139985,141190,142106,142416,142410,142537,142412,142555,142355,142098,140071,137537,133773,130786,128579,127714,127542,127439,127396,127332,127266,127549,128729,130428,132678,134596,136063,136733,137106,137489,137995,138423,139165,139962,140736,141252,141880,142651,143480,144481,145482,146489,147384,148257,149094,149882,150785,151754,152748,153772,154846,155875,156774,157687,158661,159768,160820,161780,162689,163676,164736,165810,166750,167631,168552,169642,170579,171564,172498,173664,174781,175844,176863,177784,178876,179936,181130,182168,183325,184294,185220,186091,187186,188457,189699,190870,191902,193123,194294,195506,196780,198160,199726,201176,202544,203676,204898,206279,207802,209140,210488,211810,213261,214705,216204,217719,219188,220840,222447,223930,225280,226526,227815,228896,229946,230810,231572,232139,232760,233189,233553,233773,234107,234584,235149,235007,234881,234097,233883,233093,232756,231948,231439,230739,229895,229027,226837,226083,223689,222954,220264,219001,216313,214697,212088,209935,206925,203871,201571,199038,197238,194806,192969,191501,190303,188741,187506,186411,186253,185691,185397,184067,183977,182929,183018,180955,179887,178161,177227,175377,173802,172230,171030,169910,168085,166817,165015,164607,163557,163042,161338,160478,159071,158347,156868,156542,156095,156118,155716,155126,154587,154088,154432,154972,155552,156208,157080,157682,158584,159175,160348,161431,162987,164360,165890,166679,167693,168287,169175,169556,169722,170130,170833,171564,171974,172478,172754,173298,173670,174021,174121,174602,175343,176084,176298,176581,176821,177152,177384,177664,178106,178685,179695,180568,181315,181825,182470,183218,183938,184560,185256,186107,187023,187998,188758,189645,190475,191246,191843,192354,193032,193792,194647,195441,196293,197121,197751,198131,198479,198952,199568,200067,200522,201058,201550,202014,202252,202337,202549,202849,203233,203557,203801,204112,204340,204447,204494,204530,204656,204859
47,Pennsylvania,6,95385,95294,95253,95222,95266,95298,95383,95484,95617,95716,95822,95981,96197,96465,96712,96985,97117,97279,97379,97577,97797,98107,98394,98619,98752,98865,98955,99052,99296,99583,99925,100101,100198,100258,100389,100569,100807,101031,101297,101568,101815,102075,102314,102631,103009,103438,103942,104435,104916,105386,105824,106255,106624,107011,107424,107913,108434,108950,109409,109894,110390,110835,111266,111699,112181,112657,113129,113673,114203,114770,115331,115944,116577,117199,117808,118444,119206,119982,120807,121523,122300,123093,123907,124707,125505,126391,127338,128252,129110,129988,130930,131820,132675,133485,134581,135664,136783,137903,139059,140357,141562,142861,144045,145402,146766,148234,149381,150562,151787,153114,154500,155897,157463,158963,160416,161762,163073,164242,165308,166283,167261,168245,169248,170059,170726,171236,171722,172099,172444,172854,173322,173830,174174,174473,174619,174914,175172,175378,175505,175650,175771,175724,175568,175221,174886,174430,173960,173284,172586,171955,171408,170786,170053,169280,168702,168229,167808,167357,166982,166741,166520,166384,166343,166500,166721,167028,167228,167429,167570,167638,167586,167316,166894,166226,165431,164528,163692,162904,162163,161433,160612,159813,159009,158396,157981,157770,157578,157339,157046,156718,156400,156118,155958,155897,155830,155724,155643,155583,155612,155672,155817,156007,156214,156433,156726,157042,157439,157856,158216,158551,158796,159096,159312,159551,159775,159970,160034,160068,160221,160460,160653,160767,160885,161033,161247,161417,161557,161842,162261,162793,163063,163236,163423,163755,164137,164480,164738,165150,165704,166068,166294,166378,166816,167293,167856,168289,168753,169284,169988,170471,170916,171347,172079,172847,173587,174300,175032,175837,176680,177434,178165,179002,179883,181081,182130,183116,183722,184308,184882,185533,186122,186808,187461,188182,188887,189342,189778,190276,191021,191788,192531,193192,193868,194494,195124,195692
44,Ohio,7,92231,92549,92842,93098,93385,93682,93984,94283,94592,94890,95189,95470,95757,96054,96386,96744,97051,97347,97617,97907,98210,98574,98975,99362,99689,100005,100340,100727,101122,101524,101966,102385,102735,102994,103270,103608,103955,104240,104503,104780,105110,105454,105812,106185,106644,107175,107703,108140,108598,109135,109716,110209,110651,111087,111510,111944,112359,112771,113143,113544,113932,114291,114594,114930,115285,115637,115972,116279,116566,116833,117102,117398,117689,117989,118280,118585,118866,119152,119458,119819,120192,120559,120916,121247,121603,121957,122356,122759,123229,123691,124143,124502,124857,125174,125539,125914,126275,126637,126968,127321,127600,127890,128165,128491,128813,129200,129579,129958,130295,130586,130884,131147,131452,131729,132025,132342,132643,132873,133010,133133,133253,133369,133441,133509,133529,133466,133395,133307,133216,133126,133083,132915,132684,132386,132126,131801,131482,131259,131005,130607,130202,129833,129448,129102,128673,128270,127807,127437,127028,126541,125917,125410,124793,124094,123255,122507,121947,121494,121063,120607,120175,119836,119661,119484,119396,119305,119392,119335,119275,119100,118900,118475,117983,117420,116856,116238,115576,115023,114446,113959,113321,112718,112151,111806,111531,111270,110959,110694,110487,110225,109942,109760,109680,109570,109398,109263,109234,109291,109350,109388,109458,109656,109944,110183,110449,110778,111210,111599,111983,112274,112671,113015,113306,113331,113290,113250,113318,113451,113663,113915,114069,114277,114424,114727,115104,115657,116249,116783,117232,117698,118139,118578,118995,119395,119785,120150,120481,120887,121287,121804,122275,122705,123121,123581,124114,124678,125256,125890,126584,127309,127986,128616,129285,129938,130604,131181,131933,132726,133620,134388,135105,135593,136210,136897,137857,138737,139545,140297,140944,141528,142098,142846,143617,144440,145097,145757,146242,146814,147449,148172,148882,149619,150312,150921,151528,152212
30,Michigan,8,89356,89996,90650,91242,91790,92297,92797,93350,93949,94583,95161,95768,96303,96872,97359,97934,98585,99301,100017,100652,101211,101780,102383,102973,103530,104070,104684,105307,105906,106512,107137,107764,108406,108907,109540,110144,110901,111611,112417,113195,113978,114715,115433,116157,116886,117745,118506,119324,120069,120899,121673,122517,123306,124046,124751,125530,126339,127055,127679,128270,128870,129483,130017,130536,131070,131680,132242,132738,133183,133692,134218,134763,135212,135552,135892,136184,136522,136795,137120,137464,137833,138170,138567,138842,139235,139690,140245,140755,141222,141725,142263,142750,143215,143644,144049,144526,144922,145323,145696,146146,146560,146933,147298,147670,148036,148423,148738,149091,149439,149845,150137,150363,150590,150862,151081,151259,151405,151542,151674,151706,151633,151434,151134,150883,150513,150150,149622,149073,148377,147651,146988,146355,145776,144963,144208,143218,142504,141415,140304,139007,138021,137081,135919,134488,132729,131051,129349,127662,125706,123974,122543,121171,119428,117271,115255,113306,111643,110000,108452,107263,106197,105357,104327,103559,102902,102666,102312,102119,102013,102061,102107,101726,101187,100388,99681,98900,98288,97593,97064,96390,95703,94982,94305,93828,93635,93659,93708,93701,93694,93736,93755,94017,94322,94780,95269,95905,96503,97075,97780,98573,99320,100088,101067,102198,103391,104532,105680,106922,108245,109645,110891,112067,113278,114509,115567,116368,117048,117775,118588,119285,119836,120256,120737,121273,121766,122274,122832,123549,124194,124714,125174,125678,126285,126798,127301,127895,128665,129381,130048,130531,131290,132097,133007,133914,134767,135819,136875,137849,138706,139546,140432,141437,142469,143612,144603,145428,146282,147157,148103,149088,150056,151253,152476,153715,154771,155691,156666,157653,158719,159632,160507,161258,162180,162864,163562,164149,164805,165493,166186,166946,167619,168339,169033,169806,170458,171168
16,Georgia,9,102817,103162,103527,103865,104207,104542,104907,105286,105699,106036,106422,106834,107326,107788,108207,108662,109163,109712,110237,110746,111262,111981,112634,113215,113577,114049,114589,115169,115733,116274,116838,117431,117985,118431,118909,119484,120194,120872,121563,122281,122942,123616,124270,124942,125585,126202,126930,127713,128580,129389,130190,130961,131787,132614,133473,134341,135297,136273,137084,137794,138408,139105,139763,140426,141081,141713,142313,142872,143400,143891,144425,144922,145435,145906,146389,146834,147213,147598,147994,148383,148703,149049,149398,149803,150123,150403,150663,150949,151280,151601,151903,152226,152623,153022,153437,153840,154296,154730,155127,155531,155992,156489,157023,157520,157979,158383,158776,159194,159703,160313,160971,161578,162128,162710,163284,163923,164481,165118,165715,166284,166732,167136,167598,168123,168643,169101,169514,169906,170364,170810,171230,171628,171954,172168,172219,172155,172027,171757,171448,171072,170747,170139,169366,168365,167533,166703,165806,164734,163530,162372,161083,159520,157600,155828,154159,152610,150755,148944,147282,146037,144988,144035,143029,142253,141707,141142,140525,139938,139695,139520,139163,138252,137024,135528,134232,132862,131731,130510,129505,128213,126789,125160,123721,122631,121991,121717,121471,121183,120545,120073,119586,119669,119866,120272,120694,121205,121537,121712,121927,122515,123341,124378,125466,126520,127506,128579,129750,130934,132255,133651,135084,136292,137551,138619,139671,140521,141382,142131,142829,143575,144273,145017,145698,146406,147044,147671,148269,148854,149519,150326,151197,151953,152691,153398,154070,154727,155380,156197,156998,157929,158846,159705,160406,161031,161661,162194,162891,163660,164589,165364,166216,167059,167958,168854,169889,171041,172160,173480,174744,176149,177487,178888,180227,181367,182547,183772,185107,186394,187611,188754,189906,191092,192181,193121,193950,194915,195899,196838,197627,198395,199215,199989,200724,201313,201944,202653
36,North Carolina,10,110371,110761,111203,111670,112127,112526,113001,113531,114097,114650,115191,115781,116332,116850,117275,117656,118128,118696,119138,119503,119830,120250,120613,120942,121281,121759,122294,122845,123279,123686,124153,124598,125024,125330,125728,126108,126575,126931,127277,127647,128016,128410,128757,129181,129631,130082,130615,131153,131740,132279,132813,133298,133751,134194,134659,135200,135751,136342,136755,137131,137431,137764,138082,138349,138682,138999,139346,139570,139760,139919,140113,140335,140514,140744,140954,141228,141439,141648,141836,142043,142252,142480,142713,142966,143197,143434,143631,143857,144120,144394,144646,144901,145212,145595,145980,146350,146707,147026,147384,147709,148046,148434,148869,149378,149882,150303,150797,151252,151842,152414,153110,153846,154622,155382,156198,156997,157798,158578,159352,160156,160953,161806,162614,163470,164308,165144,165902,166589,167259,167973,168597,169236,169838,170485,171121,171662,172152,172516,172785,173044,173264,173434,173457,173396,173251,173025,172659,172210,171785,171324,170822,170138,169390,168588,168011,167427,166720,165845,165013,164350,163634,163030,162531,162232,161901,161598,161144,160754,160524,160399,160176,159673,159103,158447,157841,157182,156579,155894,155216,154419,153488,152653,151995,151516,151012,150608,150087,149597,149113,148763,148502,148325,148349,148276,148148,148023,148080,148132,148236,148361,148481,148644,148806,149137,149482,149949,150444,150958,151476,151949,152488,152949,153518,153987,154475,154775,155025,155239,155432,155598,155683,155874,156095,156484,156870,157356,157841,158462,158992,159458,159893,160451,161098,161658,162157,162567,162941,163362,163873,164346,164948,165678,166588,167464,168292,169159,170008,170909,171838,172723,173535,174429,175392,176331,177144,177847,178639,179503,180567,181581,182644,183700,184834,185893,186829,187822,188851,190016,191101,192121,192941,193839,194735,195732,196620,197514,198446,199315,200175,200978,201794,202606,203464,204262,205009,205670
