Year,NAME,Home Value <$50k (%),"Home Value $50k-$99,999k (%)","Home Value $100k-$149,999k (%)","Home Value $150k-$199,999k (%)","Home Value $200k-$299,999k (%)","Home Value $300k-$499,999k (%)",Home Value $500k+ (%),Median Home Value ($)(1000X),2nd Mortgage or Equity Loan (%),2nd Mortgage Only (%),Equity Loan Only (%),Both 2nd & Equity Loan (%),No 2nd or Equity Loan (%),Income <$10k (%),"Income $10k-$24,999 (%)","Income $25k-$34,999 (%)","Income $35k-$49,999 (%)","Income $50k-$74,999 (%)","Income $75k-$99,999 (%)","Income $100k-$149,999 (%)",Income $150k+ (%),Median Income ($)(1000X),Median Housing Cost (monthly) ($),Median Real Estate Taxes ($),Region,Population,Net Population Change,Net Migration,Net Migration Change
2013,Alabama,9.0,22.2,22.3,17.4,16.7,9.3,3.1,141.4,13.3,3.6,9.7,0.6,86.1,3.1,9.5,8.1,14.5,22.1,16.0,16.8,9.9,65.89,1093,595,3,4830081,14493,7343,1.5225486169999998
2013,Alaska,1.9,2.5,6.5,15.4,36.4,30.4,6.8,266.8,9.3,2.7,6.7,0.6,90.1,1.1,4.3,2.9,7.5,16.1,18.0,27.4,22.9,100.319,1746,3175,4,737068,6625,-701,-0.955359108
2013,Arizona,5.4,13.2,19.4,18.5,21.4,15.3,6.9,178.2,14.7,3.7,11.0,0.7,84.6,3.1,8.3,7.5,13.3,20.7,15.8,18.3,13.1,71.112,1277,1394,4,6632764,77786,42047,6.376679192
2013,Arkansas,11.3,26.7,23.8,16.2,13.3,6.3,2.4,124.7,7.0,3.0,4.1,0.2,92.7,3.2,10.7,9.2,14.9,21.9,15.5,16.1,8.6,62.24100000000001,979,800,3,2959400,7236,171,0.05785271
2013,California,2.8,3.2,5.7,8.0,16.3,29.2,34.9,383.2,18.5,4.7,13.8,1.1,80.4,2.2,5.6,5.0,9.1,16.8,14.8,21.7,25.0,93.538,2059,3412,4,38260787,311987,62836,1.649031375
2013,Colorado,3.4,4.7,10.4,16.6,29.4,23.9,11.6,246.5,18.7,7.0,11.7,0.8,80.4,1.9,5.7,6.0,10.9,18.8,17.2,21.5,17.9,84.26700000000001,1516,1558,4,5269035,76388,44424,8.492707005
2013,Connecticut,2.7,2.9,8.9,15.6,26.7,26.8,16.5,272.8,20.6,4.6,16.1,0.7,78.7,1.4,3.8,3.8,7.5,16.8,16.0,24.0,26.8,100.866,1986,5399,1,3594841,294,-6007,-1.671074089
2013,Delaware,4.3,4.4,10.1,19.1,31.0,24.7,6.5,233.9,17.3,3.7,13.6,0.9,81.8,2.3,5.9,6.4,11.0,20.4,16.2,20.6,17.2,80.332,1504,1366,3,923576,8397,5655,6.150901017000001
2013,District of Columbia,3.0,1.8,1.5,3.9,12.6,30.7,46.5,472.2,19.4,6.2,13.2,1.1,79.5,2.5,3.1,3.3,5.3,12.1,13.5,20.8,39.5,123.456,2236,2794,3,650581,15657,10788,16.78406541
2013,Florida,6.6,18.5,19.1,17.3,18.8,12.9,6.7,163.6,16.5,3.7,12.7,0.7,82.8,3.2,10.2,8.3,13.6,21.2,15.0,16.4,12.1,66.38600000000001,1368,1808,3,19545621,247799,215179,11.07929593
2013,Georgia,7.7,20.6,20.7,17.3,16.7,11.9,5.2,152.4,16.1,5.1,11.0,0.7,83.2,3.3,8.0,7.5,12.4,20.7,16.3,18.1,13.8,72.247,1288,1507,3,9972479,71049,16454,1.6558393219999998
2013,Hawaii,1.5,1.1,1.8,3.3,11.0,31.2,50.0,500.4,21.1,3.4,17.7,0.8,78.1,1.7,4.9,4.5,6.9,16.4,16.0,26.0,23.6,99.096,2220,1435,4,1408243,13439,4917,3.508325048
2013,Idaho,4.3,13.2,25.0,23.1,19.6,10.6,4.2,162.7,15.6,5.2,10.4,0.7,83.8,2.5,7.9,9.4,15.5,25.4,17.5,14.2,7.7,63.271,1142,1215,4,1611206,15882,5325,3.3213473760000003
