Year,Region,NAME,value
2013.0,3,Alabama,2958.0
2013.0,4,Alaska,8457.0
2013.0,4,Arizona,36567.0
2013.0,3,Arkansas,3687.0
2013.0,4,California,3687.0
2013.0,4,Colorado,16151.0
2013.0,1,Connecticut,5145.0
2013.0,3,Delaware,300.0
2013.0,3,Florida,25950.0
2013.0,3,Georgia,11773.0
2013.0,4,Hawaii,13610.0
2013.0,4,Idaho,6192.0
2013.0,2,Illinois,19961.0
2013.0,2,Indiana,8799.0
2013.0,2,Iowa,3563.0
2013.0,2,Kansas,4680.0
2013.0,3,Kentucky,3895.0
2013.0,3,Louisiana,3764.0
2013.0,1,Maine,1104.0
2013.0,3,Maryland,9781.0
2013.0,1,Massachusetts,12947.0
2013.0,2,Michigan,9172.0
2013.0,2,Minnesota,7376.0
2013.0,3,Mississippi,2450.0
2013.0,2,Missouri,7146.0
2013.0,4,Montana,3147.0
2013.0,2,Nebraska,1262.0
2013.0,4,Nevada,29897.0
2013.0,1,New Hampshire,1198.0
2013.0,1,New Jersey,10498.0
2013.0,4,New Mexico,6290.0
2013.0,1,New York,30704.0
2013.0,3,North Carolina,10858.0
2013.0,2,North Dakota,710.0
2013.0,2,Ohio,6742.0
2013.0,3,Oklahoma,3717.0
2013.0,4,Oregon,20128.0
2013.0,1,Pennsylvania,11426.0
2013.0,1,Rhode Island,1658.0
2013.0,3,South Carolina,7283.0
2013.0,2,South Dakota,981.0
2013.0,3,Tennessee,7020.0
2013.0,3,Texas,32290.0
2013.0,4,Utah,12631.0
2013.0,1,Vermont,1029.0
2013.0,3,Virginia,12810.0
2013.0,4,Washington,37246.0
2013.0,3,West Virginia,967.0
2013.0,2,Wisconsin,4704.0
2013.0,4,Wyoming,1030.0
2013.0,0,United States,1030.0
2013.0,1,Northeast Region,1030.0
2013.0,2,Midwest Region,1030.0
2013.0,3,South Region,1030.0
2013.0,4,West Region,1030.0
2013.0,3,District of Columbia,1030.0
2013.0,X,Puerto Rico,1030.0
