Current residence in --,Population 1 year and over,MOE,Same residence 1 year ago,MOE,"Different residence, same state 1 year ago",MOE,Different state of residence 1 year ago,MOE,Alabama,MOE,Alaska,MOE,Arizona,MOE,Arkansas,MOE,California,MOE,Colorado,MOE,Connecticut,MOE,Delaware,MOE,District of Columbia ,MOE,Florida,MOE,Georgia,MOE,Hawaii,MOE,Idaho,MOE,Illinois,MOE,Indiana,MOE,Iowa,MOE,Kansas,MOE,Kentucky,MOE,Louisiana,MOE,Maine,MOE,Maryland,MOE,Massachusetts,MOE,Michigan,MOE,Minnesota,MOE,Mississippi,MOE,Missouri,MOE,Montana,MOE,Nebraska,MOE,Nevada,MOE,New Hampshire,MOE,New Jersey,MOE,New Mexico,MOE,New York,MOE,North Carolina,MOE,North Dakota,MOE,Ohio,MOE,Oklahoma,MOE,Oregon,MOE,Pennsylvania,MOE,Rhode Island,MOE,South Carolina,MOE,South Dakota,MOE,Tennessee,MOE,Texas,MOE,Utah,MOE,Vermont,MOE,Virginia,MOE,Washington,MOE,West Virginia,MOE,Wisconsin,MOE,Wyoming,MOE,Total,MOE,Puerto Rico,MOE,U.S. Island Area,MOE,Foreign Country,MOE
United States1,"307,900,319","+/- 29,996","261,087,925","+/- 263,315","37,998,701","+/- 233,440","6,987,416","+/- 77,858","106,806","+/- 10,575","88,850","+/- 10,161","211,816","+/- 17,644","77,226","+/- 6,899","562,343","+/- 20,646","160,623","+/- 10,427","91,295","+/- 7,653","26,631","+/- 3,629","49,732","+/- 4,949","437,202","+/- 19,015","248,892","+/- 13,318","61,940","+/- 7,295","57,831","+/- 7,401","269,008","+/- 13,750","143,228","+/- 10,568","74,516","+/- 6,398","94,180","+/- 10,699","99,256","+/- 7,329","86,593","+/- 8,952","33,729","+/- 4,154","165,041","+/- 11,278","145,869","+/- 10,414","186,505","+/- 13,304","103,253","+/- 6,978","68,597","+/- 7,559","138,404","+/- 11,145","31,204","+/- 4,179","52,809","+/- 6,362","115,943","+/- 8,686","43,277","+/- 4,875","216,369","+/- 12,474","61,431","+/- 5,579","377,800","+/- 15,333","225,147","+/- 14,191","26,563","+/- 3,090","206,049","+/- 11,406","81,009","+/- 8,616","109,795","+/- 8,590","215,127","+/- 11,482","31,065","+/- 4,192","121,426","+/- 9,952","29,383","+/- 4,358","154,243","+/- 9,679","404,839","+/- 17,998","73,211","+/- 7,130","18,172","+/- 2,845","229,227","+/- 11,582","190,644","+/- 11,567","45,956","+/- 5,684","105,370","+/- 8,011","31,991","+/- 4,631","1,826,277","+/- 39,657","76,218","+/- 8,799","13,131","+/- 3,168","1,736,928","+/- 37,914"
Alabama,"4,745,278","+/- 4,078","4,024,442","+/- 22,751","588,293","+/- 20,366","117,726","+/- 9,414",N/A,N/A,"1,771","+/- 1,098","1,677","+/- 1,060","1,642","+/- 1,063","3,389","+/- 1,286",348,+/- 295,"2,921","+/- 3,231",232,+/- 301,399,+/- 359,"20,063","+/- 4,141","19,346","+/- 3,711","1,259","+/- 1,292",137,+/- 173,"6,991","+/- 3,376","1,434",+/- 634,30,+/- 52,842,+/- 632,"2,686",+/- 856,"2,413",+/- 972,626,+/- 378,"1,606",+/- 987,112,+/- 146,"2,797","+/- 1,250",327,+/- 342,"3,945","+/- 1,492","1,086",+/- 536,317,+/- 463,770,+/- 638,257,+/- 333,64,+/- 109,"1,996","+/- 2,284",119,+/- 184,"1,108",+/- 442,"2,697","+/- 1,820",284,+/- 333,"2,596",+/- 958,973,+/- 840,169,+/- 182,"1,075",+/- 474,0,+/- 190,"2,036",+/- 973,90,+/- 98,"8,710","+/- 2,300","7,973","+/- 2,240",300,+/- 390,66,+/- 108,"4,935","+/- 2,151","2,621","+/- 1,272",65,+/- 110,417,+/- 457,9,+/- 15,"14,817","+/- 2,811",569,+/- 601,0,+/- 190,"14,248","+/- 2,893"
Alaska,"711,962","+/- 1,401","571,857","+/- 8,892","100,280","+/- 8,388","35,084","+/- 4,168",93,+/- 113,N/A,N/A,"2,467","+/- 1,902",190,+/- 258,"3,098","+/- 1,921","1,583",+/- 727,138,+/- 167,11,+/- 24,140,+/- 220,"1,188",+/- 476,556,+/- 419,"1,366",+/- 703,475,+/- 253,985,+/- 686,181,+/- 156,319,+/- 374,750,+/- 741,237,+/- 354,"1,077","+/- 1,276",0,+/- 149,216,+/- 155,141,+/- 120,771,+/- 435,593,+/- 568,554,+/- 904,921,"+/- 1,014",248,+/- 185,5,+/- 12,532,+/- 485,520,+/- 744,128,+/- 136,226,+/- 188,940,+/- 613,470,+/- 404,0,+/- 149,319,+/- 286,616,+/- 733,"2,161",+/- 841,378,+/- 371,0,+/- 149,186,+/- 182,301,+/- 343,388,+/- 308,"2,492","+/- 1,105",662,+/- 731,68,+/- 105,"1,488","+/- 1,112","4,548","+/- 1,520",89,+/- 75,23,+/- 35,246,+/- 272,"4,741","+/- 1,264","1,044",+/- 962,0,+/- 149,"3,697",+/- 901
Arizona,"6,402,301","+/- 5,660","5,107,496","+/- 39,045","1,028,366","+/- 36,556","222,877","+/- 14,358",833,+/- 587,"5,001","+/- 2,214",N/A,N/A,"1,066",+/- 740,"49,635","+/- 8,755","10,189","+/- 2,958","1,875","+/- 1,213",0,+/- 229,389,+/- 389,"3,732","+/- 1,842","2,206","+/- 1,147","2,199","+/- 1,109","2,190","+/- 1,183","10,035","+/- 4,129","5,855","+/- 1,956","4,526","+/- 1,745","1,708",+/- 883,"2,134","+/- 1,257",844,+/- 867,0,+/- 229,"1,918","+/- 1,096",743,+/- 430,"9,396","+/- 5,283","3,297","+/- 1,064","1,226","+/- 1,492","3,872","+/- 1,689","2,431","+/- 1,191","1,393",+/- 798,"8,756","+/- 3,417",228,+/- 229,"3,379","+/- 1,757","4,610","+/- 1,448","3,880","+/- 1,363","2,548","+/- 1,269","1,159",+/- 891,"4,682","+/- 2,116","3,219","+/- 1,761","4,613","+/- 1,465","3,436","+/- 1,476",72,+/- 131,"1,774","+/- 1,932","1,657","+/- 1,589","1,680",+/- 647,"12,688","+/- 2,976","10,577","+/- 3,336",0,+/- 229,"2,233","+/- 1,094","13,940","+/- 5,479",70,+/- 118,"6,473","+/- 2,066","2,510","+/- 1,288","43,562","+/- 6,373",871,+/- 639,122,+/- 135,"42,569","+/- 6,259"
Arkansas,"2,906,632","+/- 2,928","2,421,746","+/- 18,606","405,831","+/- 18,050","69,845","+/- 7,292",691,+/- 573,560,+/- 669,439,+/- 381,N/A,N/A,"4,077","+/- 2,327",746,+/- 451,519,+/- 654,79,+/- 141,0,+/- 192,"3,067","+/- 1,273","1,446",+/- 759,13,+/- 27,179,+/- 271,"3,684","+/- 2,143","1,362","+/- 1,007",851,+/- 773,"2,008","+/- 1,142",213,+/- 311,"2,120","+/- 1,015",30,+/- 53,133,+/- 176,781,+/- 901,"1,881","+/- 1,130",232,+/- 396,"1,731",+/- 864,"7,314","+/- 2,602",713,+/- 858,332,+/- 417,641,+/- 525,52,+/- 69,341,+/- 220,775,+/- 680,674,+/- 362,"1,664","+/- 1,220",214,+/- 248,174,+/- 176,"3,761","+/- 1,456",632,+/- 587,567,+/- 628,0,+/- 192,235,+/- 269,0,+/- 192,"6,462","+/- 2,269","14,767","+/- 2,746",0,+/- 192,0,+/- 192,"1,245",+/- 769,"1,477",+/- 636,24,+/- 45,687,+/- 632,252,+/- 399,"9,210","+/- 3,170",529,+/- 507,46,+/- 81,"8,635","+/- 3,062"
California,"37,222,678","+/- 9,999","31,213,310","+/- 71,183","5,271,168","+/- 68,394","468,428","+/- 17,921","2,087",+/- 927,"7,358","+/- 2,501","35,650","+/- 4,362","2,648","+/- 1,019",N/A,N/A,"21,245","+/- 3,867","3,073","+/- 1,222","1,302","+/- 1,343","3,240","+/- 1,457","22,094","+/- 4,333","13,303","+/- 3,042","9,864","+/- 2,683","4,796","+/- 1,560","20,834","+/- 3,496","4,673","+/- 1,297","3,324","+/- 1,701","2,810","+/- 1,256","1,201",+/- 507,"3,600","+/- 1,751","1,658","+/- 1,175","7,793","+/- 1,924","10,244","+/- 2,069","12,069","+/- 4,117","5,687","+/- 1,375","2,092",+/- 896,"7,677","+/- 1,995","2,599","+/- 1,492","1,955",+/- 821,"36,159","+/- 5,100","1,222",+/- 869,"8,053","+/- 2,169","5,904","+/- 2,207","25,629","+/- 3,287","8,708","+/- 2,611","1,392",+/- 898,"10,474","+/- 3,555","5,113","+/- 1,763","18,165","+/- 2,845","8,550","+/- 2,017","1,103",+/- 545,"5,758","+/- 2,383","1,004",+/- 686,"8,761","+/- 2,325","37,087","+/- 5,877","8,944","+/- 2,725",745,+/- 504,"15,753","+/- 2,373","36,481","+/- 6,266",832,+/- 463,"5,668","+/- 1,495","2,047","+/- 1,810","269,772","+/- 16,003","1,344",+/- 635,"2,817","+/- 2,043","265,611","+/- 15,898"
Colorado,"5,048,443","+/- 4,037","4,048,042","+/- 22,888","763,233","+/- 18,937","202,124","+/- 11,431","2,340","+/- 1,681","3,191","+/- 1,622","12,338","+/- 3,704","1,615","+/- 1,191","23,234","+/- 3,742",N/A,N/A,"1,567",+/- 838,501,+/- 556,298,+/- 301,"8,075","+/- 2,090","3,250","+/- 1,254","1,852",+/- 832,"1,578",+/- 766,"6,027","+/- 1,536","2,116","+/- 1,289","3,510","+/- 1,495","3,718","+/- 1,495","1,361","+/- 1,028",908,+/- 550,"1,358","+/- 1,235","3,303","+/- 1,416","2,157","+/- 1,085","3,225","+/- 1,061","3,055","+/- 1,092",879,+/- 621,"4,552","+/- 1,382","4,079","+/- 1,579","4,582","+/- 1,961","4,061","+/- 1,432",489,+/- 396,"2,863","+/- 1,788","8,797","+/- 2,308","3,998","+/- 1,621","4,756","+/- 1,686","2,249","+/- 1,245","5,527","+/- 2,388","3,824","+/- 2,137","5,543","+/- 2,105","3,348","+/- 1,302",435,+/- 560,718,+/- 480,"1,340","+/- 1,037","3,193","+/- 1,472","22,390","+/- 4,287","3,856","+/- 1,446",914,+/- 772,"6,281","+/- 2,671","5,524","+/- 2,092",412,+/- 490,"3,995","+/- 1,774","2,942",+/- 923,"35,044","+/- 5,809",476,+/- 556,57,+/- 79,"34,511","+/- 5,839"
Connecticut,"3,548,667","+/- 2,644","3,139,496","+/- 16,755","316,883","+/- 15,392","71,502","+/- 6,552",101,+/- 120,180,+/- 299,"1,387",+/- 939,84,+/- 178,"3,699","+/- 1,455","1,502",+/- 618,N/A,N/A,62,+/- 132,607,+/- 373,"4,771","+/- 1,275","2,000",+/- 988,587,+/- 523,133,+/- 224,"1,843",+/- 965,168,+/- 214,67,+/- 120,16,+/- 36,0,+/- 198,315,+/- 238,259,+/- 193,"1,267",+/- 744,"8,691","+/- 1,998",692,+/- 736,76,+/- 120,69,+/- 116,365,+/- 297,206,+/- 277,62,+/- 103,160,+/- 189,"1,221",+/- 803,"3,809","+/- 1,324",265,+/- 225,"20,015","+/- 4,005","1,029",+/- 593,0,+/- 198,"1,383",+/- 791,217,+/- 211,117,+/- 161,"3,668","+/- 1,639","1,488",+/- 645,997,+/- 476,0,+/- 198,123,+/- 141,"1,214",+/- 646,398,+/- 359,608,+/- 354,"2,555","+/- 1,053","2,255","+/- 1,469",46,+/- 77,660,+/- 898,65,+/- 110,"20,786","+/- 4,003","2,105","+/- 1,756",0,+/- 198,"18,681","+/- 3,485"
Delaware,"897,187","+/- 1,369","775,414","+/- 8,584","83,156","+/- 6,851","33,912","+/- 3,955",81,+/- 135,329,+/- 544,541,+/- 728,0,+/- 192,699,+/- 594,169,+/- 218,66,+/- 94,N/A,N/A,154,+/- 144,810,+/- 449,639,+/- 422,201,+/- 171,441,+/- 347,34,+/- 35,210,+/- 235,0,+/- 192,7,+/- 17,305,+/- 391,0,+/- 192,0,+/- 192,"4,238","+/- 1,274",806,+/- 558,43,+/- 71,201,+/- 299,0,+/- 192,713,+/- 684,0,+/- 192,12,+/- 28,0,+/- 192,0,+/- 192,"6,297","+/- 1,765",0,+/- 192,"3,141","+/- 1,083",388,+/- 256,0,+/- 192,664,+/- 608,27,+/- 45,0,+/- 192,"8,571","+/- 1,728",131,+/- 217,153,+/- 179,0,+/- 192,221,+/- 259,883,+/- 755,475,+/- 738,0,+/- 192,"1,064",+/- 512,482,+/- 530,198,+/- 174,55,+/- 96,463,+/- 527,"4,705","+/- 1,519","1,008",+/- 971,0,+/- 192,"3,697","+/- 1,338"
District of Columbia ,"611,608","+/- 1,403","489,659","+/- 6,701","66,519","+/- 6,073","48,066","+/- 4,295",13,+/- 29,135,+/- 217,43,+/- 71,81,+/- 93,"3,797","+/- 1,233",452,+/- 321,981,+/- 472,128,+/- 125,N/A,N/A,"1,254",+/- 651,937,+/- 572,372,+/- 396,68,+/- 113,"1,397",+/- 814,128,+/- 147,241,+/- 284,6,+/- 19,297,+/- 260,0,+/- 200,0,+/- 200,"14,129","+/- 2,971","2,048",+/- 789,"1,108",+/- 554,409,+/- 457,83,+/- 99,112,+/- 184,38,+/- 64,79,+/- 110,238,+/- 282,145,+/- 139,"1,035",+/- 605,0,+/- 200,"2,313",+/- 697,"1,716",+/- 760,285,+/- 360,306,+/- 224,0,+/- 200,51,+/- 64,"1,589",+/- 757,50,+/- 63,357,+/- 329,104,+/- 129,421,+/- 358,"1,083",+/- 491,75,+/- 118,445,+/- 489,"7,975","+/- 1,285",476,+/- 300,120,+/- 138,946,+/- 668,0,+/- 200,"7,364","+/- 1,786",0,+/- 200,0,+/- 200,"7,364","+/- 1,786"
