Region,NAME,Population 2010,Population 2011,Population 2012,Population 2013,Population 2014,Population 2015,Population 2016,Population 2017,Population 2018,Net Pop Chg 2010,Net Pop Chg 2011,Net Pop Chg 2012,Net Pop Chg 2013,Net Pop Chg 2014,Net Pop Chg 2015,Net Pop Chg 2016,Net Pop Chg 2017,Net Pop Chg 2018,Net Migration 2010,Net Migration 2011,Net Migration 2012,Net Migration 2013,Net Migration 2014,Net Migration 2015,Net Migration 2016,Net Migration 2017,Net Migration 2018,%Net Migration 2011,%Net Migration 2012,%Net Migration 2013,%Net Migration 2014,%Net Migration 2015,%Net Migration 2016,%Net Migration 2017,%Net Migration 2018
0,United States,309321666,311556874,313830990,315993715,318301008,320635163,322941311,324985539,326687501,563561,2235208,2274116,2162725,2307293,2334155,2306148,2044228,1701962,174416,774165,838671,830168,926546,1041605,1046709,930409,701823,2.493772776,2.682082747,2.636187477,2.921499948,3.260435227,3.2527882619999997,2.8719569189999996,2.153911416
1,Northeast Region,55380134,55604223,55775216,55901806,56006011,56034684,56042330,56059240,56046620,61691,224089,170993,126590,104205,28673,7646,16910,-12620,12225,49272,-2136,-26232,-55176,-115512,-139563,-102968,-119642,0.887908915,-0.038355374,-0.46978330100000004,-0.9860973340000001,-2.061965074,-2.49048391,-1.8370483130000002,-2.134446852
2,Midwest Region,66974416,67157800,67336743,67560379,67745167,67860583,67987540,68126781,68236628,44691,183384,178943,223636,184788,115416,126957,139241,109847,-25953,-64647,-65495,-467,-51617,-94140,-84347,-37933,-62915,-0.963929501,-0.9739428609999999,-0.006923795,-0.762969465,-1.3884367,-1.241783812,-0.5573697129999999,-0.9227548720000001
3,South Region,114866680,116006522,117241208,118364400,119624037,120997341,122351760,123542189,124569433,303650,1139842,1234686,1123192,1259637,1373304,1354419,1190429,1027244,158731,592249,682303,623421,733183,875544,869982,762046,648256,5.130513155,5.8504577939999995,5.292072674,6.161501031,7.277358372999999,7.150073671,6.198167975,5.225519021
4,West Region,72100436,72788329,73477823,74167130,74925793,75742555,76559681,77257329,77834820,153529,687893,689494,689307,758663,816762,817126,697648,577491,29413,197291,223999,233446,300156,375713,400637,309264,236124,2.7233443530000003,3.062895919,3.162261835,4.026428538,4.987285053,5.261078373,4.021193755,3.044951038
3,Alabama,4785437,4799069,4815588,4830081,4841799,4852347,4863525,4874486,4887681,5312,13632,16519,14493,11718,10548,11178,10961,13195,2168,2772,5703,7343,2725,3036,3620,5309,8658,0.578433568,1.186313771,1.5225486169999998,0.563489208,0.626357391,0.745172435,1.0903664,1.773786496
4,Alaska,713910,722128,730443,737068,736283,737498,741456,739700,735139,3661,8218,8315,6625,-785,1215,3958,-1756,-4561,1598,422,1029,-701,-8443,-5893,-2882,-8141,-10220,0.58772818,1.416798215,-0.955359108,-11.46094855,-7.997117618,-3.897349072,-10.99276511,-13.85913988
4,Arizona,6407172,6472643,6554978,6632764,6730413,6829676,6941072,7044008,7158024,14884,65471,82335,77786,97649,99263,111396,102936,114016,5672,27551,44944,42047,61260,65072,82382,76071,92050,4.2781670389999995,6.8998015829999995,6.376679192,9.168478424,9.597577125,11.96478216,10.87887949,12.96293376
3,Arkansas,2921964,2940667,2952164,2959400,2967392,2978048,2989918,3001345,3009733,5933,18703,11497,7236,7992,10656,11870,11427,8388,3270,9658,2439,171,-271,3197,4435,6020,2882,3.2947664619999997,0.827785491,0.05785271,-0.091449135,1.0754460559999999,1.486268521,2.009592969,0.958896225
4,California,37319502,37638369,37948800,38260787,38596972,38918045,39167117,39358497,39461588,64983,318867,310431,311987,336185,321073,249072,191380,103091,-721,47853,56502,62836,84680,76932,19523,-24732,-83981,1.2767972029999999,1.4950156419999998,1.649031375,2.203551108,1.984957315,0.500043786,-0.629909115,-2.130954312
4,Colorado,5047349,5121108,5192647,5269035,5350101,5450623,5539215,5611885,5691287,18030,73759,71539,76388,81066,100522,88592,72670,79402,8433,39632,38739,44424,48408,69676,58435,44783,53185,7.795086315,7.512103982,8.492707005,9.117125912999999,12.90209805,10.63436968,8.032032714,9.410632697
1,Connecticut,3579114,3588283,3594547,3594841,3594524,3587122,3578141,3573297,3571520,4967,9169,6264,294,-317,-7402,-8981,-4844,-1777,2572,869,-1471,-6007,-6980,-13488,-14824,-9356,-5478,0.242486917,-0.40958786399999997,-1.671074089,-1.9417570259999999,-3.756241953,-4.137740652,-2.616536702,-1.53341926
3,Delaware,899593,907381,915179,923576,932487,941252,948921,956823,965479,1656,7788,7798,8397,8911,8765,7669,7902,8656,638,4381,4414,5655,5973,6290,5087,5958,7335,4.8489906330000005,4.843736283,6.150901017000001,6.436203944,6.71384862,5.382576092000001,6.25267612,7.631475179
3,District of Columbia,605226,619800,634924,650581,662328,675400,685815,694906,701547,3459,14574,15124,15657,11747,13072,10415,9091,6641,2169,9951,10095,10788,6983,8225,5508,4514,2431,16.2461858,16.09118818,16.78406541,10.63744707,12.29696919,8.092770062,6.538612797000001,3.4816782230000003
3,Florida,18845537,19053237,19297822,19545621,19845911,20209042,20613477,20963613,21244317,40973,207700,244585,247799,300290,363131,404435,350136,280704,32460,169141,202523,215179,260032,330283,372675,324642,267130,8.925935177000001,10.56153365,11.07929593,13.20243143,16.49149357,18.25830493,15.61638874,12.65781099
3,Georgia,9711881,9802431,9901430,9972479,10067278,10178447,10301890,10410330,10511131,23152,90550,98999,71049,94799,111169,123443,108440,100801,7100,28820,36489,16454,39859,57895,72782,60780,56844,2.95372955,3.7037411089999996,1.6558393219999998,3.977992348,5.719232085,7.107500233,5.8689990739999995,5.434037327
4,Hawaii,1363963,1379329,1394804,1408243,1414538,1422052,1427559,1424393,1420593,3656,15366,15475,13439,6295,7514,5507,-3166,-3800,1627,6340,7055,4917,-1855,450,-1857,-9805,-8498,4.6221838580000005,5.086273802,3.508325048,-1.314306707,0.317282371,-1.3033357890000001,-6.875992302999999,-5.974018853
4,Idaho,1570746,1583910,1595324,1611206,1631112,1651059,1682380,1717715,1750536,3089,13164,11414,15882,19906,19947,31321,35335,32821,-264,2069,806,5325,9804,9761,21910,26525,24142,1.3117119590000001,0.507040375,3.3213473760000003,6.047525257999999,5.947892416,13.14558329,15.60250522,13.92171443
2,Illinois,12840503,12867454,12882510,12895129,12884493,12858913,12820527,12778828,12723071,8931,26951,15056,12619,-10636,-25580,-38386,-41699,-55757,-8461,-33876,-43686,-40418,-65886,-77601,-88670,-85114,-93439,-2.6354486280000002,-3.393092122,-3.135896193,-5.111479137,-6.0288059789999995,-6.905913836,-6.6496987910000005,-7.328003299
2,Indiana,6490432,6516528,6537703,6568713,6593644,6608422,6634304,6658078,6695497,6381,26096,21175,31010,24931,14778,25882,23774,37419,-664,588,-3033,8676,1883,-6171,4600,6984,19003,0.090413133,-0.464676931,1.3239317290000001,0.28611896800000003,-0.934853681,0.6947210109999999,1.050827459,2.84612922
2,Iowa,3050745,3066336,3076190,3092997,3109350,3120960,3131371,3141550,3148618,3874,15591,9854,16807,16353,11610,10411,10179,7068,903,5939,-547,7098,5857,1767,166,1941,-2064,1.941775824,-0.178102624,2.3011135830000002,1.8886398969999998,0.567226992,0.053100195999999995,0.618850453,-0.6562622810000001
2,Kansas,2858190,2869225,2885257,2893212,2900475,2909011,2910844,2908718,2911359,5067,11035,16032,7955,7263,8536,1833,-2126,2641,1138,-3903,1352,-6184,-6531,-3838,-10521,-12486,-7511,-1.3629185240000001,0.469894597,-2.140359324,-2.2545228969999997,-1.321287288,-3.615553996,-4.291044584,-2.581065508
