Region,Current residence,Population (1yr ago) Est,Same house (1yr ago) Est,Same state of residence (1yr ago) Est,Different state of residence (1yr ago) Total Est,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia ,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Abroad(1yr ago) Est
All,United States1,305628607,258552348,38582885,6743229,99221,94692,176768,64264,573988,140620,89360,30055,56052,427853,244992,49218,53122,277579,130170,66922,90681,92999,88131,32209,159866,144152,178207,104765,68363,148055,35870,43531,109409,38399,193972,50438,363139,207025,24450,188013,90616,100185,209810,24948,117569,27915,143135,411641,75541,18380,232002,166162,49349,111240,28186,1750145
South_states,Alabama,4729509,3987155,620465,108723,,3013,676,1481,3827,1278,454,811,211,15062,21644,267,304,2503,3945,669,649,1967,1901,97,716,435,2334,386,7233,1373,229,169,265,0,356,650,3686,2371,169,2222,880,485,1477,0,2368,31,7409,6500,1336,0,2490,1171,41,1155,27,13166
West_states,Alaska,702974,565031,95878,36326,477,,1354,47,3906,1930,0,0,14,2315,1251,1705,895,388,9,262,106,1440,100,574,704,107,923,530,263,0,616,215,240,316,413,421,255,698,69,156,1455,1793,126,0,121,531,477,4123,1274,353,714,2421,0,158,81,5739
West_states,Arizona,6332786,5069002,1001991,222725,416,3109,,689,47164,7687,479,738,0,7712,4261,1966,2147,12250,2690,3008,1935,1705,2014,241,1284,1449,6354,5421,272,4567,1343,1750,10342,64,1782,4419,6618,4463,826,5225,2910,5430,5535,403,2310,1351,3061,14705,7164,664,3413,12645,595,5556,593,39068
South_states,Arkansas,2888304,2387806,412997,79127,1405,934,777,,4457,2535,451,0,154,3578,3921,129,618,3221,722,85,3611,2540,4012,0,306,190,1506,222,2764,7320,85,394,67,0,77,0,289,1561,0,1137,8607,239,731,0,1496,243,2653,13707,361,0,494,264,0,821,443,8374
West_states,California,36907897,30790221,5413287,444749,3364,9579,33854,4172,,15662,4631,643,3683,20362,8820,9528,5719,16482,6550,3163,3857,3394,2989,1796,10626,11969,10435,5095,2757,6921,3009,3062,27724,1614,10108,4632,20981,9593,392,8170,5708,20913,9948,526,5016,1604,4349,36582,10653,525,14232,30544,1446,6031,1336,259640
West_states,Colorado,4988190,4042039,725413,186366,954,2225,12287,1034,26089,,459,486,479,8849,6445,2355,839,6950,3296,2140,4308,1961,968,532,1532,2242,4587,2878,1277,1978,2042,4065,4131,791,1259,3921,4594,2940,802,2838,3464,4330,3928,192,1231,1847,1628,22253,4748,350,2739,7583,623,2499,4418,34372
Northeast_states,Connecticut,3541146,3100742,342904,77333,896,0,664,334,4479,547,,149,331,9207,748,182,147,3391,1074,108,0,400,0,528,1531,8510,770,934,67,42,0,0,507,1049,3475,112,20727,1345,0,1296,145,640,1955,1728,1140,0,430,1887,0,458,1735,2084,442,1092,47,20167
South_states,Delaware,889812,764640,90001,30759,128,68,60,0,353,178,714,,432,2362,585,0,0,612,0,0,28,163,0,294,4969,689,61,55,0,539,73,0,106,139,3678,59,4251,424,0,325,0,0,7318,149,195,0,146,178,0,0,1051,377,0,0,0,4412
South_states,District of Columbia ,596747,474676,63766,51244,360,591,662,155,4205,656,926,0,,1100,1597,0,0,615,711,392,83,94,0,76,13503,1376,126,87,0,272,0,62,0,137,1924,61,3852,1897,98,598,0,601,2378,249,380,0,591,1180,0,199,7915,284,860,391,0,7061
