State,Net Migration,Net Migration Change,Net Population Change,Population,Region,Year
United States,174416,,563561,309321666,0,2010
Northeast Region,12225,,61691,55380134,1,2010
Midwest Region,-25953,,44691,66974416,2,2010
South Region,158731,,303650,114866680,3,2010
West Region,29413,,153529,72100436,4,2010
Alabama,2168,,5312,4785437,3,2010
Alaska,1598,,3661,713910,4,2010
Arizona,5672,,14884,6407172,4,2010
Arkansas,3270,,5933,2921964,3,2010
California,-721,,64983,37319502,4,2010
Colorado,8433,,18030,5047349,4,2010
Connecticut,2572,,4967,3579114,1,2010
Delaware,638,,1656,899593,3,2010
District of Columbia,2169,,3459,605226,3,2010
Florida,32460,,40973,18845537,3,2010
Georgia,7100,,23152,9711881,3,2010
Hawaii,1627,,3656,1363963,4,2010
Idaho,-264,,3089,1570746,4,2010
Illinois,-8461,,8931,12840503,2,2010
Indiana,-664,,6381,6490432,2,2010
Iowa,903,,3874,3050745,2,2010
Kansas,1138,,5067,2858190,2,2010
Kentucky,5551,,8848,4348181,3,2010
Louisiana,5308,,11045,4544532,3,2010
Maine,-1015,,-729,1327629,1,2010
Maryland,7396,,14851,5788645,3,2010
Massachusetts,12435,,18522,6566307,1,2010
Michigan,-14053,,-6606,9877510,2,2010
Minnesota,-1100,,6901,5310828,2,2010
Mississippi,-478,,2418,2970548,3,2010
Missouri,1369,,7024,5995974,2,2010
Montana,653,,1290,990697,4,2010
Nebraska,403,,3237,1829542,2,2010
Nevada,-2144,,1728,2702405,4,2010
New Hampshire,-354,,300,1316762,1,2010
New Jersey,-1746,,7468,8799446,1,2010
New Mexico,2456,,5353,2064552,4,2010
New York,-3777,,21734,19399878,1,2010
North Carolina,25284,,38572,9574323,3,2010
North Dakota,1253,,2139,674715,2,2010
Ohio,-5311,,2585,11539336,2,2010
Oklahoma,2760,,8362,3759944,3,2010
Oregon,2560,,6412,3837491,4,2010
Pennsylvania,3742,,8292,12711160,1,2010
Rhode Island,493,,995,1053959,1,2010
South Carolina,5650,,10283,4635649,3,2010
South Dakota,856,,1968,816166,2,2010
Tennessee,3830,,9035,6355311,3,2010
Texas,42957,,95880,25241971,3,2010
Utah,1418,,11441,2775332,4,2010
Vermont,-125,,142,625879,1,2010
Virginia,11264,,22650,8023699,3,2010
Washington,8181,,18290,6742830,4,2010
West Virginia,1404,,1221,1854239,3,2010
Wisconsin,-2286,,3190,5690475,2,2010
Wyoming,-56,,712,564487,4,2010
Puerto Rico,-7097,,-4632,3721525,X,2010
United States,774165,2.493772776,2235208,311556874,0,2011
Northeast Region,49272,0.887908915,224089,55604223,1,2011
Midwest Region,-64647,-0.963929501,183384,67157800,2,2011
South Region,592249,5.130513155,1139842,116006522,3,2011
West Region,197291,2.7233443530000003,687893,72788329,4,2011
Alabama,2772,0.578433568,13632,4799069,3,2011
Alaska,422,0.58772818,8218,722128,4,2011
Arizona,27551,4.2781670389999995,65471,6472643,4,2011
Arkansas,9658,3.2947664619999997,18703,2940667,3,2011
California,47853,1.2767972029999999,318867,37638369,4,2011
Colorado,39632,7.795086315,73759,5121108,4,2011
Connecticut,869,0.242486917,9169,3588283,1,2011
Delaware,4381,4.8489906330000005,7788,907381,3,2011
District of Columbia,9951,16.2461858,14574,619800,3,2011
Florida,169141,8.925935177000001,207700,19053237,3,2011
Georgia,28820,2.95372955,90550,9802431,3,2011
Hawaii,6340,4.6221838580000005,15366,1379329,4,2011
Idaho,2069,1.3117119590000001,13164,1583910,4,2011
Illinois,-33876,-2.6354486280000002,26951,12867454,2,2011
Indiana,588,0.090413133,26096,6516528,2,2011
Iowa,5939,1.941775824,15591,3066336,2,2011
Kansas,-3903,-1.3629185240000001,11035,2869225,2,2011
Kentucky,8862,2.033034633,21640,4369821,3,2011
Louisiana,9456,2.073648513,31093,4575625,3,2011
Maine,1099,0.8275873490000001,655,1328284,1,2011
Maryland,21004,3.612639215,50774,5839419,3,2011
Massachusetts,28245,4.286075225,47276,6613583,1,2011
Michigan,-19283,-1.951728352,4902,9882412,2,2011
Minnesota,6958,1.305811942,35315,5346143,2,2011
Mississippi,-2448,-0.822956866,8183,2978731,3,2011
Missouri,-5967,-0.993982384,14301,6010275,2,2011
Montana,3732,3.7545026110000004,6619,997316,4,2011
Nebraska,1060,0.577622994,11130,1840672,2,2011
Nevada,-5259,-1.942333848,10325,2712730,4,2011
New Hampshire,1211,0.918480495,3440,1320202,1,2011
New Jersey,-6959,-0.789558942,28671,8828117,1,2011
New Mexico,4484,2.163569523,15898,2080450,4,2011
New York,6043,0.310701124,99363,19499241,1,2011
North Carolina,41981,4.365763888,83269,9657592,3,2011
North Dakota,7286,10.71517861,10510,685225,2,2011
Ohio,-21931,-1.90010405,5327,11544663,2,2011
Oklahoma,13643,3.6148426610000004,28435,3788379,3,2011
Oregon,21653,5.6172058289999995,34545,3872036,4,2011
Pennsylvania,19765,1.552816075,34655,12745815,1,2011
Rhode Island,-1563,-1.483198014,-310,1053649,1,2011
South Carolina,20816,4.472883199,36345,4671994,3,2011
South Dakota,2911,3.550552068,7413,823579,2,2011
Tennessee,25505,3.999340787,43980,6399291,3,2011
Texas,189731,7.45686572,403658,25645629,3,2011
Utah,2170,0.776425851,39052,2814384,4,2011
Vermont,562,0.897098636,1170,627049,1,2011
Virginia,35449,4.396815004,77456,8101155,3,2011
Washington,46859,6.9065401810000004,83797,6826627,4,2011
West Virginia,3527,1.9010710030000002,2062,1856301,3,2011
Wisconsin,-4429,-0.777306443,14813,5705288,2,2011
Wyoming,-215,-0.379930482,2812,567299,4,2011
Puerto Rico,-53776,-14.53354931,-42793,3678732,X,2011
United States,838671,2.682082747,2274116,313830990,0,2012
Northeast Region,-2136,-0.038355374,170993,55775216,1,2012
Midwest Region,-65495,-0.9739428609999999,178943,67336743,2,2012
South Region,682303,5.8504577939999995,1234686,117241208,3,2012
West Region,223999,3.062895919,689494,73477823,4,2012
Alabama,5703,1.186313771,16519,4815588,3,2012
Alaska,1029,1.416798215,8315,730443,4,2012
Arizona,44944,6.8998015829999995,82335,6554978,4,2012
Arkansas,2439,0.827785491,11497,2952164,3,2012
California,56502,1.4950156419999998,310431,37948800,4,2012
Colorado,38739,7.512103982,71539,5192647,4,2012
Connecticut,-1471,-0.40958786399999997,6264,3594547,1,2012
Delaware,4414,4.843736283,7798,915179,3,2012
District of Columbia,10095,16.09118818,15124,634924,3,2012
Florida,202523,10.56153365,244585,19297822,3,2012
Georgia,36489,3.7037411089999996,98999,9901430,3,2012
Hawaii,7055,5.086273802,15475,1394804,4,2012
Idaho,806,0.507040375,11414,1595324,4,2012
Illinois,-43686,-3.393092122,15056,12882510,2,2012
Indiana,-3033,-0.464676931,21175,6537703,2,2012
Iowa,-547,-0.178102624,9854,3076190,2,2012
Kansas,1352,0.469894597,16032,2885257,2,2012
Kentucky,4220,0.963892077,16525,4386346,3,2012
Louisiana,3561,0.776104693,25347,4600972,3,2012
Maine,-396,-0.298191312,-555,1327729,1,2012
Maryland,19100,3.257603712,47573,5886992,3,2012
Massachusetts,30496,4.593951398,49422,6663005,1,2012
Michigan,-9045,-0.914580645,14733,9897145,2,2012
Minnesota,2114,0.394300511,30500,5376643,2,2012
Mississippi,-5583,-1.872689641,5085,2983816,3,2012
Missouri,-5351,-0.88926617,14092,6024367,2,2012
Montana,3345,3.343162932,6467,1003783,4,2012
Nebraska,2176,1.178134665,12631,1853303,2,2012
Nevada,16760,6.142877616,31266,2743996,4,2012
New Hampshire,2345,1.7735364169999999,4030,1324232,1,2012
New Jersey,-18503,-2.093921601,16825,8844942,1,2012
New Mexico,-3597,-1.7261074840000001,6859,2087309,4,2012
New York,-18818,-0.963243073,73691,19572932,1,2012
North Carolina,51023,5.258187378,91884,9749476,3,2012
North Dakota,11588,16.71666423,15951,701176,2,2012
Ohio,-21690,-1.878443651,4260,11548923,2,2012
Oklahoma,14945,3.9291759789999996,30435,3818814,3,2012
Oregon,15097,3.8854531260000003,26965,3899001,4,2012
Pennsylvania,6422,0.503430946,21303,12767118,1,2012
Rhode Island,-667,-0.63274628,972,1054621,1,2012
South Carolina,29431,6.269018892999999,45360,4717354,3,2012
South Dakota,5397,6.513612267,9987,833566,2,2012
Tennessee,34546,5.3754753,54607,6453898,3,2012
Texas,226699,8.764682696,438852,26084481,3,2012
Utah,4114,1.45172016,38991,2853375,4,2012
Vermont,-1544,-2.464211871,-959,626090,1,2012
Virginia,41160,5.054575229,83925,8185080,3,2012
Washington,33476,4.878573066,70431,6897058,4,2012
West Virginia,1538,0.828402016,571,1856872,3,2012
Wisconsin,-4770,-0.834992816,14672,5719960,2,2012
Wyoming,5729,10.01920245,9006,576305,4,2012
Puerto Rico,-54784,-14.98218295,-44244,3634488,X,2012
United States,830168,2.636187477,2162725,315993715,0,2013
Northeast Region,-26232,-0.46978330100000004,126590,55901806,1,2013
Midwest Region,-467,-0.006923795,223636,67560379,2,2013
South Region,623421,5.292072674,1123192,118364400,3,2013
West Region,233446,3.162261835,689307,74167130,4,2013
Alabama,7343,1.5225486169999998,14493,4830081,3,2013
Alaska,-701,-0.955359108,6625,737068,4,2013
Arizona,42047,6.376679192,77786,6632764,4,2013
Arkansas,171,0.05785271,7236,2959400,3,2013
California,62836,1.649031375,311987,38260787,4,2013
Colorado,44424,8.492707005,76388,5269035,4,2013
Connecticut,-6007,-1.671074089,294,3594841,1,2013
Delaware,5655,6.150901017000001,8397,923576,3,2013
District of Columbia,10788,16.78406541,15657,650581,3,2013
Florida,215179,11.07929593,247799,19545621,3,2013
Georgia,16454,1.6558393219999998,71049,9972479,3,2013
Hawaii,4917,3.508325048,13439,1408243,4,2013
Idaho,5325,3.3213473760000003,15882,1611206,4,2013
Illinois,-40418,-3.135896193,12619,12895129,2,2013
Indiana,8676,1.3239317290000001,31010,6568713,2,2013
Iowa,7098,2.3011135830000002,16807,3092997,2,2013
Kansas,-6184,-2.140359324,7955,2893212,2,2013
Kentucky,6753,1.5363431140000001,18313,4404659,3,2013
Louisiana,4501,0.975773777,23555,4624527,3,2013
Maine,959,0.7222097959999999,280,1328009,1,2013
Maryland,10142,1.7175013419999998,36196,5923188,3,2013
Massachusetts,33783,5.051165043999999,50310,6713315,1,2013
Michigan,-4999,-0.504689249,15920,9913065,2,2013
Minnesota,9621,1.783297724,36836,5413479,2,2013
Mississippi,-2997,-1.0035952959999999,4895,2988711,3,2013
Missouri,-934,-0.154826963,16348,6040715,2,2013
Montana,6965,6.905091427,9786,1013569,4,2013
Nebraska,2205,1.185935929,11976,1865279,2,2013
