state_no,region_no,population_1YR_ago,different_state_1YR_ago,
1001,r001,305628607,6743229,
1002,r002,4729509,108723,
1003,r003,702974,36326,
1004,r004,6332786,222725,
1005,,2888304,79127,
1006,,36907897,444749,
1007,,4988190,186366,
1008,,3541146,77333,
1009,,889812,30759,
1010,,596747,51244,
1011,,18647600,482889,
1012,,9587237,249459,
1013,,1346274,53581,
1014,,1550967,55638,
1015,,12680126,203959,
1016,,6414862,127353,
1017,,3013053,72557,
1018,,2820894,95059,
1019,,4296639,118443,
1020,,4483529,97889,
1021,,1313902,27758,
1022,,5716785,164484,
1023,,6489250,140162,
1024,,9762127,116149,
1025,,5244256,89872,
1026,,2931228,72321,
1027,,5920858,145226,
1028,,978507,35630,
1029,,1802697,51290,
1030,,2667364,102677,
1031,,1303865,39367,
1032,,8709933,127369,
1033,,2039549,73605,
1034,,19171916,269427,
1035,,9443000,263256,
1036,,665654,30100,
1037,,11405101,172633,
1038,,3716264,106511,
1039,,3794008,116700,
1040,,12577555,235580,
1041,,1042240,32059,
1042,,4577399,152441,
1043,,805616,25777,
1044,,6282706,159778,
1045,,24899075,486558,
1046,,2724064,77780,
1047,,619363,22529,
1048,,7930773,259507,
1049,,6661321,191784,
1050,,1833535,39609,
1051,,5623196,93065,
1052,,556954,28046,
1053,,3676493,31732,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
