Current residence in --,Population (1yr ago) Est,MOE,Same house (1yr ago) Est,MOE,Same state of residence (1yr ago) Est,MOE,Different state of residence (1yr ago) Total Est,MOE,Alabama,MOE,Alaska,MOE,Arizona,MOE,Arkansas,MOE,California,MOE,Colorado,MOE,Connecticut,MOE,Delaware,MOE,District of Columbia ,MOE,Florida,MOE,Georgia,MOE,Hawaii,MOE,Idaho,MOE,Illinois,MOE,Indiana,MOE,Iowa,MOE,Kansas,MOE,Kentucky,MOE,Louisiana,MOE,Maine,MOE,Maryland,MOE,Massachusetts,MOE,Michigan,MOE,Minnesota,MOE,Mississippi,MOE,Missouri,MOE,Montana,MOE,Nebraska,MOE,Nevada,MOE,New Hampshire,MOE,New Jersey,MOE,New Mexico,MOE,New York,MOE,North Carolina,MOE,North Dakota,MOE,Ohio,MOE,Oklahoma,MOE,Oregon,MOE,Pennsylvania,MOE,Rhode Island,MOE,South Carolina,MOE,South Dakota,MOE,Tennessee,MOE,Texas,MOE,Utah,MOE,Vermont,MOE,Virginia,MOE,Washington,MOE,West Virginia,MOE,Wisconsin,MOE,Wyoming,MOE,Abroad(1yr ago) Est,Region
United States2,"319,361,956","+/- 30,974","272,660,098","+/- 208,903","36,952,658","+/- 198,593","7,552,536","+/- 73,712","99,892","+/- 7,271","42,074","+/- 4,504","192,103","+/- 11,736","72,033","+/- 6,995","657,690","+/- 18,597","193,179","+/- 11,032","112,914","+/- 9,320","28,742","+/- 4,020","59,972","+/- 5,669","433,452","+/- 14,337","258,942","+/- 15,064","64,119","+/- 6,040","55,772","+/- 4,979","345,528","+/- 14,879","137,409","+/- 7,537","76,999","+/- 6,375","92,821","+/- 7,545","103,370","+/- 8,375","92,190","+/- 8,198","32,973","+/- 3,936","186,118","+/- 10,688","176,873","+/- 8,438","156,354","+/- 9,660","121,583","+/- 8,586","77,509","+/- 6,994","159,177","+/- 11,968","31,479","+/- 4,671","47,456","+/- 5,284","88,563","+/- 8,182","45,628","+/- 4,655","226,830","+/- 11,598","65,578","+/- 7,115","450,136","+/- 16,495","256,563","+/- 13,176","37,658","+/- 4,510","212,041","+/- 11,667","105,685","+/- 7,270","107,169","+/- 8,047","257,792","+/- 13,407","35,606","+/- 4,619","127,686","+/- 9,009","29,654","+/- 4,035","182,813","+/- 11,834","444,340","+/- 17,603","85,803","+/- 7,290","23,693","+/- 3,631","275,671","+/- 12,730","192,362","+/- 9,698","51,476","+/- 4,475","113,882","+/- 7,025","27,184","+/- 3,871","2,196,664",All
Alabama,"4,810,126","+/- 3,913","4,141,850","+/- 18,249","529,994","+/- 17,409","122,220","+/- 9,811",N/A,N/A,576,+/- 580,"1,022",+/- 751,495,+/- 499,"6,611","+/- 2,475","2,177","+/- 1,414",566,+/- 543,0,+/- 195,97,+/- 159,"16,631","+/- 3,690","23,008","+/- 3,908","1,695","+/- 1,502",212,+/- 260,"3,707","+/- 1,438","1,445",+/- 835,671,+/- 631,"1,261",+/- 992,"1,590",+/- 836,"1,508",+/- 678,151,+/- 192,"1,903","+/- 1,127",330,+/- 303,"2,195","+/- 1,040",122,+/- 131,"7,602","+/- 2,383","2,746","+/- 1,474",294,+/- 362,33,+/- 41,254,+/- 219,0,+/- 195,812,+/- 540,826,+/- 549,"3,047","+/- 1,875","6,419","+/- 3,303",0,+/- 195,"2,694","+/- 1,223","1,169",+/- 961,498,+/- 399,"1,008",+/- 556,0,+/- 195,"2,952","+/- 1,389",52,+/- 84,"9,960","+/- 2,673","7,689","+/- 2,114",525,+/- 426,0,+/- 195,"3,535","+/- 1,406",677,+/- 615,42,+/- 56,874,+/- 478,539,+/- 691,"16,062",South_states
Alaska,"731,760","+/- 1,282","593,897","+/- 7,921","100,004","+/- 6,403","31,300","+/- 3,641",423,+/- 337,N/A,N/A,"1,176",+/- 841,65,+/- 73,"3,593","+/- 1,449","1,401",+/- 709,0,+/- 155,79,+/- 131,0,+/- 155,"1,100",+/- 545,"2,208","+/- 1,164",561,+/- 436,361,+/- 239,715,+/- 539,126,+/- 154,142,+/- 211,"1,831","+/- 1,290",703,+/- 561,273,+/- 353,147,+/- 158,0,+/- 155,44,+/- 67,133,+/- 150,236,+/- 186,92,+/- 95,281,+/- 214,832,+/- 472,0,+/- 155,534,+/- 390,32,+/- 50,270,+/- 277,198,+/- 235,910,+/- 601,714,+/- 363,58,+/- 115,100,+/- 131,806,+/- 569,"1,301",+/- 627,574,+/- 390,0,+/- 155,281,+/- 261,370,+/- 267,243,+/- 229,"1,675",+/- 763,725,+/- 695,86,+/- 104,462,+/- 392,"4,888","+/- 1,951",0,+/- 155,260,+/- 323,291,+/- 242,"6,559",West_states
Arizona,"6,851,836","+/- 4,173","5,586,753","+/- 30,225","938,077","+/- 26,500","273,257","+/- 14,805",894,+/- 543,"1,946",+/- 783,N/A,N/A,"1,205",+/- 682,"64,756","+/- 7,190","11,895","+/- 2,441","1,596",+/- 667,420,+/- 442,276,+/- 261,"9,306","+/- 2,332","4,242","+/- 1,809","2,339",+/- 901,"2,775","+/- 1,713","13,387","+/- 2,828","5,443","+/- 2,046","2,649","+/- 1,177","3,383","+/- 1,783","1,105",+/- 772,679,+/- 426,355,+/- 297,"1,467",+/- 798,"4,028","+/- 1,264","6,525","+/- 1,637","5,461","+/- 1,594",568,+/- 535,"3,708","+/- 1,154","2,414",+/- 961,"1,312",+/- 547,"7,350","+/- 1,927",224,+/- 202,"3,971","+/- 1,466","9,453","+/- 2,285","3,029",+/- 879,"4,605","+/- 1,843","1,662",+/- 763,"3,839","+/- 1,060","7,494","+/- 3,265","9,279","+/- 3,360","4,651","+/- 1,683",51,+/- 98,"1,768","+/- 1,133","2,408","+/- 1,144","1,834",+/- 867,"14,923","+/- 4,007","9,979","+/- 3,029",817,+/- 575,"8,809","+/- 3,131","13,897","+/- 3,010","1,419","+/- 1,387","6,736","+/- 1,752",925,+/- 683,"53,749",West_states
Arkansas,"2,949,650","+/- 3,135","2,484,705","+/- 17,957","384,811","+/- 15,832","71,083","+/- 6,657","2,057","+/- 1,295",103,+/- 168,836,+/- 885,N/A,N/A,"4,026","+/- 1,806","3,459","+/- 1,949",186,+/- 236,0,+/- 197,69,+/- 114,"1,351",+/- 660,"2,683","+/- 1,352",241,+/- 253,0,+/- 197,"2,594","+/- 1,065",335,+/- 334,"1,115",+/- 818,979,+/- 426,"1,356",+/- 829,"3,530","+/- 1,215",178,+/- 291,319,+/- 362,302,+/- 307,928,+/- 659,449,+/- 434,"3,699","+/- 1,986","6,911","+/- 1,722",36,+/- 59,"1,411","+/- 1,720","1,194","+/- 1,038",0,+/- 197,250,+/- 346,225,+/- 200,590,+/- 407,939,+/- 819,39,+/- 79,192,+/- 294,"5,773","+/- 1,932",389,+/- 353,"1,146","+/- 1,049",0,+/- 197,70,+/- 83,0,+/- 197,"2,635",+/- 902,"13,487","+/- 2,792",619,+/- 499,0,+/- 197,"1,333",+/- 869,"2,257","+/- 1,771",75,+/- 125,539,+/- 448,178,+/- 290,"9,051",South_states
California,"38,783,436","+/- 10,247","33,594,813","+/- 62,303","4,337,251","+/- 59,356","514,758","+/- 19,678","3,045","+/- 1,187","4,206","+/- 1,533","33,757","+/- 4,412","4,282","+/- 1,925",N/A,N/A,"22,540","+/- 4,142","2,932","+/- 1,148","1,372",+/- 789,"6,319","+/- 1,636","25,354","+/- 3,674","14,663","+/- 4,534","14,239","+/- 2,852","3,598","+/- 1,116","21,539","+/- 3,990","7,073","+/- 2,161","3,826","+/- 1,640","3,293","+/- 1,534","4,206","+/- 2,214","4,933","+/- 1,557","2,513","+/- 1,761","10,637","+/- 2,766","14,062","+/- 2,196","11,442","+/- 2,894","10,897","+/- 3,085","3,174","+/- 1,367","7,580","+/- 1,967","1,272",+/- 548,"1,876",+/- 863,"24,656","+/- 3,921",889,+/- 521,"11,988","+/- 2,400","8,087","+/- 3,044","40,877","+/- 4,862","14,268","+/- 3,593","2,664","+/- 2,344","9,652","+/- 2,165","6,023","+/- 2,392","18,919","+/- 3,317","13,090","+/- 2,523","2,265","+/- 1,211","5,137","+/- 2,222","1,333",+/- 732,"6,158","+/- 2,158","39,109","+/- 5,377","11,114","+/- 3,085",400,+/- 260,"14,348","+/- 2,852","27,973","+/- 3,808","1,150",+/- 687,"7,354","+/- 2,283","2,674","+/- 1,596","336,614",West_states
Colorado,"5,476,928","+/- 3,255","4,466,067","+/- 27,786","754,712","+/- 24,804","223,260","+/- 12,315","2,328","+/- 1,640","1,698",+/- 894,"13,015","+/- 2,851",808,+/- 631,"26,909","+/- 4,141",N/A,N/A,"2,882","+/- 1,331",0,+/- 195,"1,360",+/- 816,"13,546","+/- 2,611","6,128","+/- 2,280","2,795","+/- 2,376","1,565",+/- 686,"11,369","+/- 2,210","2,672","+/- 1,019","3,243","+/- 1,073","4,634","+/- 1,585","1,736",+/- 812,"3,361","+/- 1,402",390,+/- 353,"3,467","+/- 1,447","2,196","+/- 1,490","4,285","+/- 1,866","3,725","+/- 1,302","1,319","+/- 1,257","6,246","+/- 2,132","1,334",+/- 599,"3,050","+/- 1,041","4,366","+/- 2,474","1,360",+/- 827,"2,731","+/- 1,048","5,073","+/- 1,731","8,612","+/- 2,369","6,059","+/- 2,072","1,801",+/- 704,"3,674","+/- 1,119","3,828","+/- 1,353","3,473","+/- 1,314","4,586","+/- 1,581",63,+/- 126,"1,945","+/- 1,111","1,735","+/- 1,283","4,035","+/- 1,575","20,725","+/- 3,591","3,642","+/- 1,659",647,+/- 441,"7,148","+/- 1,776","4,487","+/- 1,772",309,+/- 316,"3,243","+/- 1,362","3,657","+/- 1,297","32,889",West_states
Connecticut,"3,541,758","+/- 2,975","3,116,440","+/- 16,535","323,316","+/- 14,648","75,586","+/- 6,930","1,102",+/- 930,331,+/- 470,309,+/- 234,960,+/- 889,"3,979","+/- 1,293",562,+/- 519,N/A,N/A,0,+/- 200,433,+/- 449,"4,629","+/- 1,503","1,129",+/- 583,449,+/- 604,0,+/- 200,"1,733","+/- 1,406",488,+/- 317,162,+/- 270,329,+/- 524,43,+/- 99,330,+/- 321,941,+/- 547,"1,716","+/- 1,020","8,519","+/- 1,969",614,+/- 438,780,+/- 395,0,+/- 200,248,+/- 265,0,+/- 200,0,+/- 200,34,+/- 55,750,+/- 455,"4,496","+/- 1,472",0,+/- 200,"22,160","+/- 3,780","1,651","+/- 1,003",64,+/- 109,"1,124",+/- 558,45,+/- 75,62,+/- 93,"3,427","+/- 1,310","3,255","+/- 1,419","1,054",+/- 714,0,+/- 200,394,+/- 433,"2,679","+/- 1,319",0,+/- 200,"1,131",+/- 560,"2,320","+/- 1,053",631,+/- 369,286,+/- 323,237,+/- 243,0,+/- 200,"26,416",Northeast_states
Delaware,"942,073","+/- 1,325","817,779","+/- 9,121","85,147","+/- 8,425","33,400","+/- 3,275",148,+/- 253,80,+/- 138,22,+/- 38,0,+/- 193,598,+/- 493,106,+/- 130,"1,263",+/- 697,N/A,N/A,113,+/- 100,708,+/- 404,293,+/- 480,68,+/- 109,30,+/- 70,953,+/- 792,26,+/- 43,0,+/- 193,0,+/- 193,36,+/- 59,0,+/- 193,116,+/- 157,"6,985","+/- 1,792",509,+/- 468,11,+/- 24,0,+/- 193,105,+/- 180,230,+/- 271,94,+/- 167,0,+/- 193,27,+/- 47,0,+/- 193,"5,656","+/- 2,329",0,+/- 193,"2,218",+/- 722,338,+/- 267,0,+/- 193,272,+/- 229,0,+/- 193,0,+/- 193,"10,139","+/- 2,345",0,+/- 193,212,+/- 183,23,+/- 37,34,+/- 59,515,+/- 506,0,+/- 193,112,+/- 185,"1,021",+/- 581,181,+/- 293,158,+/- 129,0,+/- 193,0,+/- 193,"5,747",South_states
District of Columbia ,"672,022","+/- 1,765","538,547","+/- 7,335","64,166","+/- 6,120","58,154","+/- 4,335",140,+/- 161,77,+/- 130,744,+/- 505,0,+/- 203,"3,908",+/- 974,531,+/- 459,"1,225",+/- 594,278,+/- 287,N/A,N/A,"2,717","+/- 1,021","1,105",+/- 607,103,+/- 122,0,+/- 203,"2,418",+/- 990,957,+/- 826,218,+/- 208,0,+/- 203,233,+/- 280,197,+/- 163,118,+/- 144,"12,778","+/- 2,313","1,974",+/- 731,922,+/- 395,542,+/- 341,224,+/- 218,566,+/- 456,17,+/- 30,190,+/- 266,356,+/- 402,168,+/- 268,"1,494",+/- 756,1,+/- 3,"4,762","+/- 1,210","1,367",+/- 621,83,+/- 84,659,+/- 362,122,+/- 205,125,+/- 140,"2,468",+/- 848,268,+/- 224,382,+/- 291,0,+/- 203,452,+/- 330,"2,213",+/- 909,249,+/- 292,0,+/- 203,"9,847","+/- 2,343",418,+/- 337,296,+/- 337,242,+/- 222,0,+/- 203,"11,155",South_states
