Current residence in --,Population (1yr ago) Est,MOE,Same house (1yr ago) Est,MOE,Same state of residence (1yr ago) Est,MOE,Different state of residence (1yr ago) Total Est,MOE,Alabama,MOE,Alaska,MOE,Arizona,MOE,Arkansas,MOE,California,MOE,Colorado,MOE,Connecticut,MOE,Delaware,MOE,District of Columbia ,MOE,Florida,MOE,Georgia,MOE,Hawaii,MOE,Idaho,MOE,Illinois,MOE,Indiana,MOE,Iowa,MOE,Kansas,MOE,Kentucky,MOE,Louisiana,MOE,Maine,MOE,Maryland,MOE,Massachusetts,MOE,Michigan,MOE,Minnesota,MOE,Mississippi,MOE,Missouri,MOE,Montana,MOE,Nebraska,MOE,Nevada,MOE,New Hampshire,MOE,New Jersey,MOE,New Mexico,MOE,New York,MOE,North Carolina,MOE,North Dakota,MOE,Ohio,MOE,Oklahoma,MOE,Oregon,MOE,Pennsylvania,MOE,Rhode Island,MOE,South Carolina,MOE,South Dakota,MOE,Tennessee,MOE,Texas,MOE,Utah,MOE,Vermont,MOE,Virginia,MOE,Washington,MOE,West Virginia,MOE,Wisconsin,MOE,Wyoming,MOE,Abroad(1yr ago) Est,Region
United States1,"312,432,820","+/- 28,736","265,461,391","+/- 215,531","37,860,849","+/- 181,528","7,207,333","+/- 70,975","97,219","+/- 6,480","99,931","+/- 9,018","183,178","+/- 10,138","76,963","+/- 7,366","581,679","+/- 20,638","166,348","+/- 9,656","91,600","+/- 7,900","24,771","+/- 3,563","57,087","+/- 4,816","423,995","+/- 16,587","270,146","+/- 14,222","60,437","+/- 6,639","63,788","+/- 6,755","304,644","+/- 12,194","135,472","+/- 9,568","77,470","+/- 6,772","93,983","+/- 6,748","98,713","+/- 6,469","99,711","+/- 9,837","28,840","+/- 3,359","183,316","+/- 10,832","155,524","+/- 8,476","166,996","+/- 10,033","119,221","+/- 7,696","72,430","+/- 7,310","138,612","+/- 8,539","31,590","+/- 3,927","47,755","+/- 4,407","100,922","+/- 8,543","46,086","+/- 4,872","202,319","+/- 9,001","75,597","+/- 8,508","401,440","+/- 15,263","247,090","+/- 13,216","29,808","+/- 3,825","201,515","+/- 10,235","100,561","+/- 9,173","111,680","+/- 8,564","247,295","+/- 10,934","36,119","+/- 3,823","128,726","+/- 9,644","29,118","+/- 4,515","159,497","+/- 9,420","409,977","+/- 18,230","91,943","+/- 8,829","21,773","+/- 3,992","236,420","+/- 9,669","191,053","+/- 10,178","48,627","+/- 4,779","110,198","+/- 8,147","28,150","+/- 4,294","1,903,247",All
Alabama,"4,781,296","+/- 3,371","4,067,683","+/- 20,967","594,583","+/- 19,882","104,102","+/- 7,789",N/A,N/A,"1,026",+/- 819,"1,077",+/- 701,"1,108",+/- 614,"4,918","+/- 2,121",698,+/- 386,439,+/- 460,0,+/- 189,10,+/- 17,"11,518","+/- 2,283","17,867","+/- 3,622",718,+/- 733,222,+/- 222,"3,126","+/- 1,616","1,303",+/- 752,699,+/- 518,566,+/- 397,"2,498","+/- 1,288","1,429",+/- 944,52,+/- 85,960,+/- 641,972,+/- 788,"2,801","+/- 1,067",487,+/- 373,"7,706","+/- 2,173","1,501",+/- 982,537,+/- 527,173,+/- 189,569,+/- 531,0,+/- 185,743,+/- 352,"1,838","+/- 1,580","2,735",+/- 912,"5,663","+/- 2,370",148,+/- 168,"3,678","+/- 1,931",669,+/- 573,228,+/- 215,"1,488",+/- 907,121,+/- 143,"1,795","+/- 1,169",318,+/- 544,"8,806","+/- 2,373","4,413","+/- 1,353","1,881","+/- 1,653",19,+/- 39,"3,303","+/- 1,384",589,+/- 514,109,+/- 186,296,+/- 233,282,+/- 272,"14,928",South_states
Alaska,"725,193","+/- 1,551","583,799","+/- 9,191","99,953","+/- 8,006","34,360","+/- 4,808",572,+/- 589,N/A,N/A,733,+/- 446,403,+/- 329,"2,874",+/- 914,"2,359","+/- 1,304",22,+/- 34,0,+/- 189,0,+/- 203,781,+/- 702,"1,808","+/- 1,319",257,+/- 264,555,+/- 405,"2,012","+/- 1,054",775,+/- 936,31,+/- 64,984,+/- 895,206,+/- 271,167,+/- 198,44,+/- 60,528,+/- 499,95,+/- 140,563,+/- 389,111,+/- 115,140,+/- 152,876,+/- 683,195,+/- 193,0,+/- 157,469,+/- 302,16,+/- 34,233,+/- 171,620,+/- 509,694,+/- 480,"2,744","+/- 1,781",95,+/- 162,734,+/- 464,318,+/- 226,"1,264",+/- 550,"1,074",+/- 702,0,+/- 200,354,+/- 422,54,+/- 96,570,+/- 359,"2,477","+/- 1,055","1,363",+/- 931,6,+/- 13,727,+/- 552,"2,984","+/- 1,199",257,+/- 252,216,+/- 241,0,+/- 193,"7,081",West_states
Arizona,"6,543,362","+/- 4,567","5,321,158","+/- 29,468","941,347","+/- 27,201","236,146","+/- 10,894","2,140","+/- 1,423","4,418","+/- 1,665",N/A,N/A,310,+/- 260,"47,959","+/- 5,024","8,325","+/- 1,749","1,029",+/- 556,534,+/- 371,230,+/- 242,"6,828","+/- 1,804","2,647","+/- 1,272","2,776","+/- 1,195","3,563","+/- 1,466","7,264","+/- 2,229","3,688","+/- 1,236","2,680","+/- 1,173","1,818",+/- 859,885,+/- 540,"1,478",+/- 763,881,+/- 633,"1,812",+/- 852,"1,331",+/- 681,"8,099","+/- 2,549","5,618","+/- 1,572",500,+/- 287,"2,768","+/- 1,118","2,087","+/- 1,130","2,749","+/- 1,628","9,442","+/- 2,867",462,+/- 536,"3,817","+/- 1,606","6,526","+/- 1,994","6,846","+/- 2,186","2,583","+/- 1,073",906,+/- 764,"3,692","+/- 1,018","1,701","+/- 1,308","9,331","+/- 1,965","5,726","+/- 2,168",464,+/- 374,"2,045","+/- 1,281","1,508",+/- 725,"3,292","+/- 1,678","17,742","+/- 4,107","9,093","+/- 2,703",306,+/- 279,"3,771","+/- 1,476","14,756","+/- 3,227",188,+/- 224,"5,694","+/- 1,918","1,838",+/- 909,"44,711",West_states
Arkansas,"2,923,642","+/- 3,216","2,475,807","+/- 16,481","367,837","+/- 13,479","70,621","+/- 8,082",0,+/- 192,"1,193",+/- 869,661,+/- 561,N/A,N/A,"4,925","+/- 1,930","1,557","+/- 1,112",870,"+/- 1,061",0,+/- 189,330,+/- 334,"1,751",+/- 675,"2,870","+/- 1,667",118,+/- 200,251,+/- 398,"3,117","+/- 1,162",999,+/- 709,949,+/- 701,"1,650",+/- 762,"1,915","+/- 1,701","4,467","+/- 2,095",0,+/- 165,"1,281","+/- 1,845",0,+/- 203,429,+/- 341,289,+/- 337,"1,422",+/- 662,"5,273","+/- 1,809",41,+/- 71,137,+/- 229,348,+/- 386,361,+/- 494,437,+/- 289,209,+/- 199,"1,034",+/- 673,542,+/- 481,0,+/- 149,"1,836","+/- 1,265","8,892","+/- 3,969",786,+/- 661,244,+/- 248,30,+/- 48,339,+/- 426,94,+/- 153,"4,285","+/- 1,570","12,937","+/- 2,721",237,+/- 267,0,+/- 151,514,+/- 519,520,+/- 421,150,+/- 194,331,+/- 274,0,+/- 193,"9,377",South_states
California,"37,873,189","+/- 9,076","32,197,933","+/- 60,116","4,898,331","+/- 56,784","485,477","+/- 17,797","2,958","+/- 1,545","8,457","+/- 2,353","36,567","+/- 4,824","3,687","+/- 1,348",N/A,N/A,"16,151","+/- 2,658","5,145","+/- 1,975",300,+/- 260,"3,823",+/- 973,"25,950","+/- 4,573","11,773","+/- 2,152","13,610","+/- 3,649","6,192","+/- 2,344","19,961","+/- 2,816","8,799","+/- 2,483","3,563","+/- 1,461","4,680","+/- 1,771","3,895","+/- 1,651","3,764","+/- 1,221","1,104",+/- 769,"9,781","+/- 1,955","12,947","+/- 2,162","9,172","+/- 2,295","7,376","+/- 2,910","2,450","+/- 1,131","7,146","+/- 2,024","3,147","+/- 1,095","1,262",+/- 630,"29,897","+/- 4,278","1,198","+/- 1,045","10,498","+/- 2,475","6,290","+/- 1,344","30,704","+/- 3,551","10,858","+/- 2,456",710,+/- 453,"6,742","+/- 1,469","3,717",+/- 917,"20,128","+/- 3,608","11,426","+/- 2,661","1,658",+/- 775,"7,283","+/- 2,431",981,+/- 502,"7,020","+/- 2,214","32,290","+/- 4,473","12,631","+/- 3,067","1,029",+/- 478,"12,810","+/- 2,526","37,246","+/- 4,028",967,+/- 626,"4,704","+/- 1,494","1,030",+/- 722,"291,448",West_states
Colorado,"5,206,012","+/- 3,835","4,186,643","+/- 26,465","778,520","+/- 23,616","206,543","+/- 11,855","2,926","+/- 1,122","1,606",+/- 759,"8,798","+/- 2,202","1,235",+/- 645,"23,714","+/- 4,175",N/A,N/A,861,+/- 473,551,+/- 577,78,+/- 95,"9,448","+/- 2,187","6,671","+/- 2,804","1,363",+/- 673,"2,542","+/- 1,040","7,528","+/- 1,829","2,197",+/- 852,"2,868","+/- 1,288","6,545","+/- 2,428","2,287","+/- 1,084","2,374",+/- 969,881,+/- 763,"2,920","+/- 1,388","2,194",+/- 895,"2,718","+/- 1,356","3,754","+/- 1,395","1,168",+/- 864,"6,317","+/- 2,285","2,636","+/- 1,073","3,457","+/- 1,147","2,498","+/- 1,195",536,+/- 764,"1,426",+/- 640,"5,968","+/- 1,603","7,848","+/- 2,055","4,858","+/- 1,748",974,+/- 595,"4,566","+/- 1,308","5,138","+/- 2,017","2,793","+/- 1,542","3,773","+/- 1,418",522,+/- 435,"1,312",+/- 917,"1,651","+/- 1,209","2,295",+/- 790,"23,490","+/- 4,241","6,240","+/- 2,073",689,+/- 370,"6,980","+/- 2,383","6,173","+/- 2,458",246,+/- 257,"2,623","+/- 1,163","4,307","+/- 1,254","34,306",West_states
Connecticut,"3,562,959","+/- 2,829","3,127,421","+/- 14,790","325,895","+/- 12,696","88,351","+/- 6,859",337,+/- 353,"1,688","+/- 1,368","1,791","+/- 1,306",0,+/- 192,"4,206","+/- 1,730","1,066",+/- 661,N/A,N/A,"1,332","+/- 1,588",367,+/- 316,"5,768","+/- 1,836","2,303","+/- 1,426",398,+/- 249,0,+/- 193,"2,040",+/- 917,305,+/- 180,0,+/- 157,210,+/- 208,70,+/- 81,24,+/- 41,366,+/- 426,"1,228",+/- 743,"7,645","+/- 1,659","1,193","+/- 1,107",775,+/- 782,57,+/- 125,339,+/- 239,60,+/- 101,0,+/- 157,122,+/- 154,"2,547","+/- 1,095","5,504","+/- 1,596",197,+/- 322,"23,051","+/- 4,261","1,806","+/- 1,090",0,+/- 149,"1,156","+/- 1,056",65,+/- 108,271,+/- 329,"6,571","+/- 2,462","3,607","+/- 1,445","1,609","+/- 1,007",0,+/- 155,"1,139","+/- 1,171","1,997","+/- 1,133",433,+/- 605,621,+/- 553,"2,665","+/- 1,281",672,+/- 506,183,+/- 258,435,+/- 361,132,+/- 220,"21,292",Northeast_states
Delaware,"914,025","+/- 1,666","791,278","+/- 8,053","81,363","+/- 6,755","36,790","+/- 3,896",0,+/- 192,272,+/- 406,0,+/- 203,0,+/- 192,810,+/- 732,74,+/- 123,602,+/- 454,N/A,N/A,292,+/- 206,"1,034",+/- 549,926,+/- 706,0,+/- 185,0,+/- 193,156,+/- 155,0,+/- 190,0,+/- 157,0,+/- 170,180,+/- 193,213,+/- 257,53,+/- 89,"7,932","+/- 2,369",94,+/- 119,171,+/- 177,204,+/- 223,404,+/- 577,477,+/- 415,0,+/- 165,131,+/- 214,0,+/- 206,0,+/- 185,"4,520","+/- 1,272",258,+/- 254,"3,527","+/- 1,445","1,374",+/- 884,0,+/- 149,453,+/- 315,91,+/- 107,0,+/- 200,"10,778","+/- 2,458",0,+/- 200,532,+/- 421,0,+/- 155,163,+/- 211,240,+/- 224,0,+/- 185,0,+/- 151,776,+/- 413,0,+/- 198,53,+/- 93,0,+/- 149,0,+/- 193,"4,594",South_states
District of Columbia ,"636,535","+/- 1,515","509,958","+/- 6,417","68,917","+/- 5,785","46,571","+/- 3,601",316,+/- 217,579,+/- 658,79,+/- 130,0,+/- 192,"2,427",+/- 847,337,+/- 242,"1,597",+/- 631,336,+/- 254,N/A,N/A,"1,307",+/- 640,"1,497",+/- 599,339,+/- 526,0,+/- 193,753,+/- 398,215,+/- 199,27,+/- 46,0,+/- 170,46,+/- 71,858,+/- 475,0,+/- 165,"9,237","+/- 1,988","1,557",+/- 616,622,+/- 325,0,+/- 145,0,+/- 208,278,+/- 219,44,+/- 75,22,+/- 38,0,+/- 206,108,+/- 139,"2,173",+/- 949,411,+/- 481,"4,770","+/- 1,660","1,253",+/- 452,0,+/- 149,315,+/- 262,155,+/- 193,194,+/- 259,"2,177",+/- 791,"1,150",+/- 864,506,+/- 316,203,+/- 246,560,+/- 408,"1,625",+/- 716,126,+/- 158,0,+/- 151,"7,814","+/- 1,263",159,+/- 152,391,+/- 245,5,+/- 12,3,+/- 9,"11,089",South_states
