Current residence,Region,Population (1yr ago) Est,Same house (1yr ago) Est,Same state of residence (1yr ago) Est,Different state of residence (1yr ago) Total Est,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia ,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Abroad(1yr ago) Est
United States2,All,305628607.0,258552348.0,38582885.0,6743229.0,99221.0,94692.0,176768.0,64264.0,573988.0,140620.0,89360.0,30055.0,56052.0,427853.0,244992.0,49218.0,53122.0,277579.0,130170.0,66922.0,90681.0,92999.0,88131.0,32209.0,159866.0,144152.0,178207.0,104765.0,68363.0,148055.0,35870.0,43531.0,109409.0,38399.0,193972.0,50438.0,363139.0,207025.0,24450.0,188013.0,90616.0,100185.0,209810.0,24948.0,117569.0,27915.0,143135.0,411641.0,75541.0,18380.0,232002.0,166162.0,49349.0,111240.0,28186.0,1750145.0
Alabama,South_states,4729509.0,3987155.0,620465.0,108723.0,,3013.0,676.0,1481.0,3827.0,1278.0,454.0,811.0,211.0,15062.0,21644.0,267.0,304.0,2503.0,3945.0,669.0,649.0,1967.0,1901.0,97.0,716.0,435.0,2334.0,386.0,7233.0,1373.0,229.0,169.0,265.0,0.0,356.0,650.0,3686.0,2371.0,169.0,2222.0,880.0,485.0,1477.0,0.0,2368.0,31.0,7409.0,6500.0,1336.0,0.0,2490.0,1171.0,41.0,1155.0,27.0,13166.0
Alaska,West_states,702974.0,565031.0,95878.0,36326.0,477.0,,1354.0,47.0,3906.0,1930.0,0.0,0.0,14.0,2315.0,1251.0,1705.0,895.0,388.0,9.0,262.0,106.0,1440.0,100.0,574.0,704.0,107.0,923.0,530.0,263.0,0.0,616.0,215.0,240.0,316.0,413.0,421.0,255.0,698.0,69.0,156.0,1455.0,1793.0,126.0,0.0,121.0,531.0,477.0,4123.0,1274.0,353.0,714.0,2421.0,0.0,158.0,81.0,5739.0
Arizona,West_states,6332786.0,5069002.0,1001991.0,222725.0,416.0,3109.0,,689.0,47164.0,7687.0,479.0,738.0,0.0,7712.0,4261.0,1966.0,2147.0,12250.0,2690.0,3008.0,1935.0,1705.0,2014.0,241.0,1284.0,1449.0,6354.0,5421.0,272.0,4567.0,1343.0,1750.0,10342.0,64.0,1782.0,4419.0,6618.0,4463.0,826.0,5225.0,2910.0,5430.0,5535.0,403.0,2310.0,1351.0,3061.0,14705.0,7164.0,664.0,3413.0,12645.0,595.0,5556.0,593.0,39068.0
Arkansas,South_states,2888304.0,2387806.0,412997.0,79127.0,1405.0,934.0,777.0,,4457.0,2535.0,451.0,0.0,154.0,3578.0,3921.0,129.0,618.0,3221.0,722.0,85.0,3611.0,2540.0,4012.0,0.0,306.0,190.0,1506.0,222.0,2764.0,7320.0,85.0,394.0,67.0,0.0,77.0,0.0,289.0,1561.0,0.0,1137.0,8607.0,239.0,731.0,0.0,1496.0,243.0,2653.0,13707.0,361.0,0.0,494.0,264.0,0.0,821.0,443.0,8374.0
California,West_states,36907897.0,30790221.0,5413287.0,444749.0,3364.0,9579.0,33854.0,4172.0,,15662.0,4631.0,643.0,3683.0,20362.0,8820.0,9528.0,5719.0,16482.0,6550.0,3163.0,3857.0,3394.0,2989.0,1796.0,10626.0,11969.0,10435.0,5095.0,2757.0,6921.0,3009.0,3062.0,27724.0,1614.0,10108.0,4632.0,20981.0,9593.0,392.0,8170.0,5708.0,20913.0,9948.0,526.0,5016.0,1604.0,4349.0,36582.0,10653.0,525.0,14232.0,30544.0,1446.0,6031.0,1336.0,259640.0
Colorado,West_states,4988190.0,4042039.0,725413.0,186366.0,954.0,2225.0,12287.0,1034.0,26089.0,,459.0,486.0,479.0,8849.0,6445.0,2355.0,839.0,6950.0,3296.0,2140.0,4308.0,1961.0,968.0,532.0,1532.0,2242.0,4587.0,2878.0,1277.0,1978.0,2042.0,4065.0,4131.0,791.0,1259.0,3921.0,4594.0,2940.0,802.0,2838.0,3464.0,4330.0,3928.0,192.0,1231.0,1847.0,1628.0,22253.0,4748.0,350.0,2739.0,7583.0,623.0,2499.0,4418.0,34372.0
Connecticut,Northeast_states,3541146.0,3100742.0,342904.0,77333.0,896.0,0.0,664.0,334.0,4479.0,547.0,,149.0,331.0,9207.0,748.0,182.0,147.0,3391.0,1074.0,108.0,0.0,400.0,0.0,528.0,1531.0,8510.0,770.0,934.0,67.0,42.0,0.0,0.0,507.0,1049.0,3475.0,112.0,20727.0,1345.0,0.0,1296.0,145.0,640.0,1955.0,1728.0,1140.0,0.0,430.0,1887.0,0.0,458.0,1735.0,2084.0,442.0,1092.0,47.0,20167.0
Delaware,South_states,889812.0,764640.0,90001.0,30759.0,128.0,68.0,60.0,0.0,353.0,178.0,714.0,,432.0,2362.0,585.0,0.0,0.0,612.0,0.0,0.0,28.0,163.0,0.0,294.0,4969.0,689.0,61.0,55.0,0.0,539.0,73.0,0.0,106.0,139.0,3678.0,59.0,4251.0,424.0,0.0,325.0,0.0,0.0,7318.0,149.0,195.0,0.0,146.0,178.0,0.0,0.0,1051.0,377.0,0.0,0.0,0.0,4412.0
District of Columbia ,South_states,596747.0,474676.0,63766.0,51244.0,360.0,591.0,662.0,155.0,4205.0,656.0,926.0,0.0,,1100.0,1597.0,0.0,0.0,615.0,711.0,392.0,83.0,94.0,0.0,76.0,13503.0,1376.0,126.0,87.0,0.0,272.0,0.0,62.0,0.0,137.0,1924.0,61.0,3852.0,1897.0,98.0,598.0,0.0,601.0,2378.0,249.0,380.0,0.0,591.0,1180.0,0.0,199.0,7915.0,284.0,860.0,391.0,0.0,7061.0
Florida,South_states,18647600.0,15554008.0,2459530.0,482889.0,15830.0,5887.0,3907.0,3611.0,22130.0,6428.0,11183.0,3099.0,1110.0,,35615.0,2021.0,884.0,17432.0,9030.0,2921.0,4136.0,6321.0,7232.0,5497.0,13241.0,13900.0,21359.0,5439.0,7929.0,7984.0,338.0,1544.0,7050.0,3645.0,22344.0,900.0,55011.0,19108.0,794.0,21047.0,3466.0,1655.0,19935.0,1982.0,10759.0,430.0,12882.0,24039.0,2833.0,1442.0,20080.0,3573.0,5634.0,8081.0,191.0,151173.0
Georgia,South_states,9587237.0,8015409.0,1278548.0,249459.0,13840.0,3645.0,2554.0,599.0,8909.0,3224.0,2619.0,837.0,1708.0,49901.0,,1040.0,414.0,9736.0,2649.0,1096.0,1355.0,6525.0,3645.0,0.0,5382.0,3910.0,6857.0,1169.0,2380.0,3072.0,52.0,148.0,1155.0,162.0,4151.0,826.0,12472.0,15361.0,0.0,9323.0,2070.0,843.0,6294.0,43.0,15562.0,557.0,14445.0,11424.0,380.0,361.0,8393.0,4495.0,358.0,3416.0,102.0,43821.0
