Year,NAME,Home Value <$50k (%),Home Value $50k-$90k (%),Home Value $100k-$149k (%),Home Value $150k-$199k (%),Home Value $200k-$299k (%),Home Value $300k-$499k (%),Home Value $500k+ (%),Median Home Value ($)(1000X),2nd Mortgage or Equity Loan (%),2nd Mortgage Only (%),Equity Loan Only (%),Both 2nd & Equity Loan (%),No 2nd or Equity Loan (%),Income <$10k (%),"Income $10k-$24,999 (%)","Income $25k-$34,999 (%)","Income $35k-$49,999 (%)","Income $50k-$74,999 (%)","Income $75k-$99,999 (%)","Income $100k-$149,999 (%)",Income $150k+ (%),Median Income ($)(1000X),Median Housing Cost (monthly) ($),Region,Population,Net Population Change,Net Migration,Net Migration Change
2018,Alaska,1301,2485,50283,37611,8472,1817,737,292.6,7236,2184,5052,621,94849,1571,4496,3062,5758,16524,15589,28377,27329,105.294,52,4,735139,-4561,-10220,-13.85913988
2018,Maine,8347,22503,154319,46623,10248,2816,2488,208.3,37955,3029,34926,720,208669,4984,14179,13658,27893,49704,45453,54975,36498,81.392,10,1,1339057,4445,6642,4.968453462
2018,North Carolina,46822,189660,943652,308264,86931,28949,19457,199.6,216186,30790,185396,5555,1401994,33345,105588,97324,184908,308772,267775,334621,291402,81.50399999999999,708,3,10381615,113382,86828,8.409553426
2018,Missouri,48211,152276,598632,135389,34108,10285,7507,170.8,99005,18274,80731,1855,885548,18802,54355,61423,111764,192411,168477,212500,166676,81.877,2162,2,6121623,14953,3058,0.500151575
2018,Pennsylvania,69616,246255,1196823,397957,114215,29943,21342,202.0,320481,40532,279949,9269,1746401,39845,109579,100799,193505,371686,342305,478432,440000,90.755,1042,1,12800922,13281,10944,0.8553821490000001
2018,Michigan,89269,246365,990180,257330,59518,16720,12517,175.4,198116,33718,164398,5308,1468475,31958,95718,98054,181641,326620,282044,363484,292380,83.258,1756,2,9984072,10958,-2994,-0.300042301
2018,Nebraska,11904,38636,195718,42879,7558,1978,1744,172.5,31109,8354,22755,1486,267822,4293,12932,13815,26203,57362,54519,78592,52701,90.685,102,2,1925614,9667,-54,-0.028113572000000003
2018,Oregon,9873,10186,223689,272002,111089,27517,13624,355.8,85717,14181,71536,3112,579151,8981,33678,33717,62326,117986,110124,149735,151433,91.51700000000001,216,4,4181886,38261,31019,7.451554625
2018,Wyoming,2451,3516,59858,20641,4549,2329,1417,240.1,8316,3218,5098,381,86064,1346,4475,4757,9579,17399,18343,24239,14623,88.588,65,4,577601,-1330,-3311,-5.725738674
2018,California,50607,49439,705843,1349694,1280746,673367,879015,566.1,642797,129964,512833,27484,4318430,97819,205443,184932,331404,662661,660584,1103737,1742131,113.027,928,4,39461588,103091,-83981,-2.130954312
2018,Mississippi,29557,77430,218413,30816,5921,1442,1625,151.2,27707,7452,20255,1365,336132,13073,30075,26420,42396,77865,64349,65229,45797,72.006,455,3,2981020,-7490,-12762,-4.275713498
