Year,State,Home Value <$50k (%),Home Value $50k-$90k (%),Home Value $100k-$149k (%),Home Value $150k-$199k (%),Home Value $200k-$299k (%),Home Value $300k-$499k (%),Home Value $500k+ (%),Median Home Value ($)(1000X),2nd Mortgage or Equity Loan (%),2nd Mortgage Only (%),Equity Loan Only (%),Both 2nd & Equity Loan (%),No 2nd or Equity Loan (%),Income <$10k (%),"Income $10k-$24,999 (%)","Income $25k-$34,999 (%)","Income $35k-$49,999 (%)","Income $50k-$74,999 (%)","Income $75k-$99,999 (%)","Income $100k-$149,999 (%)",Income $150k+ (%),Median Income ($)(1000X),Median Housing Cost (monthly) ($),Median Real Estate Taxes ($)
2010,Alabama,9.1,23.6,20.3,17.8,16.8,8.7,3.7,142.7,17.2,4.9,12.3,0.6,82.3,3.9,10.4,8.7,15.5,21.7,15.6,15.6,8.7,61.964,1130,568
2010,Alaska,2.0,2.9,9.6,15.6,35.2,26.5,8.1,255.7,14.9,4.5,10.4,0.7,84.4,1.2,4.0,5.1,8.4,17.8,17.0,27.3,19.1,94.747,1772,3177
2010,Arizona,4.0,13.4,20.5,19.5,21.4,14.4,6.8,177.0,21.8,5.8,16.0,0.8,77.4,2.8,8.8,8.2,14.1,22.6,16.2,17.2,10.2,66.539,1442,1489
2010,Arkansas,12.0,27.0,23.9,16.2,12.2,6.4,2.1,122.6,10.5,4.1,6.4,0.2,89.3,2.8,10.9,10.6,16.8,22.8,15.1,14.1,7.1,59.393,987,703
2010,California,1.5,3.4,6.0,8.6,17.4,29.1,34.0,377.7,26.3,7.6,18.6,1.6,72.2,2.1,5.9,5.2,10.0,17.7,15.9,22.1,21.2,88.444,2242,3284
2010,Colorado,2.5,4.0,11.3,17.3,29.3,24.0,11.6,243.3,26.0,10.0,16.0,0.9,73.1,2.4,6.6,6.4,11.8,20.1,17.5,20.8,14.3,78.267,1590,1508
2010,Connecticut,1.0,1.5,5.7,13.0,30.3,30.4,18.0,294.5,27.7,6.0,21.6,0.5,71.8,1.6,4.0,4.3,8.5,17.7,17.4,23.7,22.8,94.298,2068,4987
2010,Delaware,3.1,2.6,7.4,17.7,33.8,28.0,7.4,249.0,22.5,4.9,17.7,1.0,76.5,2.5,6.2,6.1,12.1,21.3,17.4,21.3,12.9,77.716,1569,1302
2010,District of Columbia,1.2,1.1,1.9,3.1,16.0,35.2,41.5,439.4,24.3,6.0,18.3,1.4,74.2,3.7,4.4,3.8,7.0,13.5,12.0,19.2,36.5,112.294,2297,2640
2010,Florida,4.4,15.7,19.5,19.5,20.9,13.5,6.5,172.1,22.6,5.5,17.1,1.0,76.4,3.7,10.5,9.1,15.1,21.5,15.2,15.4,9.5,62.096,1505,1979
2010,Georgia,5.2,14.4,22.9,20.5,18.8,12.7,5.4,164.9,20.2,6.8,13.4,0.9,78.9,3.1,9.1,8.3,13.2,22.2,15.3,17.1,11.8,67.424,1390,1654
2010,Hawaii,0.5,1.2,1.5,3.9,12.0,29.0,51.9,516.1,24.9,6.2,18.8,1.8,73.3,1.8,4.9,4.4,9.0,19.4,16.9,26.0,17.6,88.857,2240,1400
2010,Idaho,4.2,10.3,23.9,23.0,22.2,11.7,4.7,171.0,21.3,6.4,14.9,0.6,78.1,2.5,9.2,10.3,15.7,26.6,16.8,12.1,6.7,60.953,1187,1280
2010,Illinois,4.0,12.3,14.9,17.8,23.6,18.9,8.6,203.9,22.7,5.1,17.6,0.7,76.6,1.9,6.5,6.6,12.0,21.1,17.7,19.9,14.3,77.134,1655,4061
2010,Indiana,6.1,26.3,26.9,17.9,13.9,6.7,2.2,130.7,20.3,5.3,15.0,0.6,79.1,2.1,8.7,9.2,15.8,24.3,17.4,15.3,7.1,63.3,1090,1123
2010,Iowa,7.3,24.9,26.2,16.8,15.9,6.7,2.1,133.3,19.2,5.7,13.5,0.8,80.0,1.7,7.4,7.8,14.7,25.1,19.2,16.8,7.3,67.976,1140,1769
2010,Kansas,8.8,23.3,20.8,19.8,16.7,8.1,2.6,143.1,16.7,5.4,11.3,0.5,82.7,1.9,6.6,7.5,13.9,24.1,18.3,18.2,9.4,70.693,1239,1875
2010,Kentucky,9.0,23.2,24.6,17.8,15.7,7.3,2.6,136.1,20.2,4.8,15.4,0.9,79.0,3.3,10.5,9.7,15.1,23.2,16.5,14.8,7.0,61.497,1072,1104
2010,Louisiana,8.4,17.5,20.2,21.1,19.8,9.9,3.2,157.7,13.4,4.2,9.2,0.7,86.0,2.6,9.8,7.8,14.0,20.7,17.4,17.6,10.1,68.145,1163,784
2010,Maine,3.7,12.3,16.5,22.1,26.7,14.1,4.7,188.5,21.6,3.3,18.3,0.8,77.6,2.3,7.9,8.7,14.7,25.2,17.9,15.9,7.4,65.808,1289,2211
2010,Maryland,1.5,2.5,5.0,10.2,28.4,33.2,19.2,311.0,26.0,6.3,19.7,1.2,72.8,1.4,4.1,4.1,7.7,17.5,16.1,25.1,23.9,98.145,2016,3079
2010,Massachusetts,1.1,1.2,3.8,8.7,25.7,39.0,20.5,337.7,27.8,5.4,22.4,0.9,71.3,1.8,4.3,4.0,8.3,17.8,17.1,24.9,21.8,94.695,2036,3624
2010,Michigan,9.8,24.6,22.9,18.1,14.9,7.4,2.3,132.0,24.5,5.2,19.3,0.9,74.6,2.7,9.3,8.2,15.2,23.5,16.7,15.9,8.6,64.74,1288,2410
2010,Minnesota,3.3,7.5,15.5,22.7,28.4,16.7,5.9,202.9,27.4,7.2,20.1,1.0,71.6,1.4,5.5,6.4,12.3,22.5,19.4,20.1,12.4,77.042,1503,2256
2010,Mississippi,14.1,27.4,21.0,16.3,13.3,6.2,1.7,118.7,11.6,4.1,7.5,0.7,87.7,3.8,14.1,10.1,15.5,22.0,15.5,12.9,6.0,56.878,1043,846
2010,Missouri,6.8,19.9,23.6,19.6,17.9,8.8,3.4,149.4,17.2,5.1,12.1,0.6,82.2,2.2,9.3,8.4,14.7,23.4,17.0,16.6,8.5,65.911,1182,1418
2010,Montana,5.5,10.1,13.6,22.0,25.7,17.1,6.0,196.8,14.6,3.9,10.7,0.6,84.8,2.6,10.6,7.9,15.2,24.8,17.9,14.7,6.3,62.191,1217,1656
2010,Nebraska,7.0,21.4,30.5,17.8,15.5,5.9,1.9,136.0,17.7,5.6,12.0,0.9,81.5,1.6,6.1,8.0,12.7,25.0,19.9,18.6,8.1,71.102,1218,2482
2010,Nevada,3.7,12.6,19.7,20.8,23.6,14.3,5.3,179.1,21.7,8.0,13.7,1.2,77.1,2.6,7.2,7.5,12.3,23.0,17.2,19.3,10.9,71.865,1638,1783
2010,New Hampshire,1.8,4.0,9.0,15.0,38.8,25.0,6.4,247.6,26.5,5.4,21.1,0.8,72.7,1.4,4.3,4.8,10.5,21.1,19.1,23.2,15.7,84.346,1853,4807
2010,New Jersey,0.9,1.9,3.9,8.3,23.8,38.7,22.5,346.8,24.6,4.1,20.5,0.9,74.5,1.4,4.5,4.2,7.5,16.2,16.1,24.6,25.4,99.984,2370,6963
2010,New Mexico,6.8,12.5,18.3,20.9,22.7,12.5,6.2,174.3,13.4,5.1,8.3,0.7,85.9,2.9,11.0,9.2,15.2,21.4,15.6,16.1,8.7,62.597,1202,1243
2010,New York,2.9,10.8,10.9,9.4,13.8,27.3,24.9,315.1,21.9,3.4,18.5,0.8,77.3,1.7,5.2,5.3,10.0,18.9,16.5,22.3,20.2,87.812,1963,4399
2010,North Carolina,4.7,15.8,22.2,19.2,19.6,12.7,5.9,165.8,22.3,4.8,17.5,0.8,76.9,2.6,9.0,9.0,14.9,23.1,16.5,15.3,9.5,64.837,1250,1382
2010,North Dakota,10.4,18.9,24.5,21.5,18.0,5.2,1.4,142.8,16.6,3.8,12.8,0.7,82.6,0.9,4.7,7.5,12.4,25.9,21.3,20.0,7.3,73.191,1133,2025
2010,Ohio,5.2,22.9,26.0,19.2,16.7,7.8,2.2,141.7,25.3,5.8,19.5,0.9,73.8,2.2,8.3,8.3,14.5,24.1,17.4,16.6,8.6,66.594,1246,2121
2010,Oklahoma,9.9,26.9,26.2,16.3,12.9,5.8,2.0,123.6,11.9,5.5,6.5,0.6,87.5,2.2,10.1,8.6,15.6,24.5,16.4,15.1,7.5,62.732,1089,1090
2010,Oregon,2.7,3.1,8.8,16.5,32.5,25.9,10.5,253.3,24.1,7.6,16.5,0.9,75.0,2.4,7.1,7.5,14.0,23.2,17.5,18.2,10.1,70.418,1577,2509
2010,Pennsylvania,5.0,15.7,17.2,17.3,22.7,16.1,6.0,182.1,23.9,4.6,19.4,0.9,75.2,2.2,6.9,7.3,12.6,22.5,17.8,18.7,12.0,72.891,1390,2595
2010,Rhode Island,1.6,1.4,6.0,18.2,36.4,26.6,9.9,258.1,27.7,5.1,22.7,1.3,71.0,1.7,4.8,6.2,11.0,22.2,18.7,20.5,14.9,79.813,1837,3815
2010,South Carolina,7.8,18.4,22.3,17.8,17.1,10.7,5.9,153.4,19.0,4.5,14.5,0.7,80.3,2.8,10.3,8.9,14.9,23.3,16.4,15.3,8.0,62.767,1177,867
