Year,State,Home Value <$50k (%),Home Value $50k-$90k (%),Home Value $100k-$149k (%),Home Value $150k-$199k (%),Home Value $200k-$299k (%),Home Value $300k-$499k (%),Home Value $500k+ (%),Median Home Value ($)(1000X),2nd Mortgage or Equity Loan (%),2nd Mortgage Only (%),Equity Loan Only (%),Both 2nd & Equity Loan (%),No 2nd or Equity Loan (%),Income <$10k (%),"Income $10k-$24,999 (%)","Income $25k-$34,999 (%)","Income $35k-$49,999 (%)","Income $50k-$74,999 (%)","Income $75k-$99,999 (%)","Income $100k-$149,999 (%)",Income $150k+ (%),Median Income ($)(1000X),Median Housing Cost (monthly) ($)
2018,Alaska,1.3,2.4,49.0,36.6,8.2,1.8,0.7,292.6,7.0,2.1,4.9,0.6,92.4,1.5,4.4,3.0,5.6,16.1,15.2,27.6,26.6,105.294,0.1
2018,Maine,3.4,9.1,62.4,18.8,4.1,1.1,1.0,208.3,15.3,1.2,14.1,0.3,84.4,2.0,5.7,5.5,11.3,20.1,18.4,22.2,14.8,81.392,0.0
2018,North Carolina,2.9,11.7,58.1,19.0,5.4,1.8,1.2,199.6,13.3,1.9,11.4,0.3,86.3,2.1,6.5,6.0,11.4,19.0,16.5,20.6,17.9,81.504,0.0
2018,Missouri,4.9,15.4,60.7,13.7,3.5,1.0,0.8,170.8,10.0,1.9,8.2,0.2,89.8,1.9,5.5,6.2,11.3,19.5,17.1,21.5,16.9,81.877,0.2
2018,Pennsylvania,3.4,11.9,57.6,19.2,5.5,1.4,1.0,202.0,15.4,2.0,13.5,0.4,84.1,1.9,5.3,4.9,9.3,17.9,16.5,23.0,21.2,90.755,0.1
2018,Michigan,5.3,14.7,59.2,15.4,3.6,1.0,0.7,175.4,11.8,2.0,9.8,0.3,87.8,1.9,5.7,5.9,10.9,19.5,16.9,21.7,17.5,83.258,0.1
2018,Nebraska,4.0,12.9,65.1,14.3,2.5,0.7,0.6,172.5,10.4,2.8,7.6,0.5,89.2,1.4,4.3,4.6,8.7,19.1,18.1,26.2,17.5,90.685,0.0
2018,Oregon,1.5,1.5,33.5,40.7,16.6,4.1,2.0,355.8,12.8,2.1,10.7,0.5,86.7,1.3,5.0,5.0,9.3,17.7,16.5,22.4,22.7,91.517,0.0
2018,Wyoming,2.6,3.7,63.2,21.8,4.8,2.5,1.5,240.1,8.8,3.4,5.4,0.4,90.8,1.4,4.7,5.0,10.1,18.4,19.4,25.6,15.4,88.588,0.1
2018,California,1.0,1.0,14.1,27.1,25.7,13.5,17.6,566.1,12.9,2.6,10.3,0.6,86.6,2.0,4.1,3.7,6.6,13.3,13.2,22.1,34.9,113.027,0.0
2018,Mississippi,8.1,21.2,59.8,8.4,1.6,0.4,0.4,151.2,7.6,2.0,5.5,0.4,92.0,3.6,8.2,7.2,11.6,21.3,17.6,17.9,12.5,72.006,0.1
2018,Connecticut,1.4,2.7,50.8,28.5,8.5,3.5,4.5,281.3,16.6,3.7,12.9,0.5,82.9,1.4,3.4,3.0,6.3,14.1,13.5,24.2,34.1,114.13,0.0
2018,Texas,3.4,10.2,56.6,20.4,6.1,1.8,1.6,216.7,4.9,1.7,3.3,0.2,94.9,1.9,5.0,4.9,8.5,16.7,15.2,22.8,25.0,95.822,0.0
2018,Idaho,2.2,4.9,58.7,26.8,4.9,1.5,1.1,243.8,11.0,2.9,8.2,0.2,88.8,1.9,6.8,5.8,12.3,22.7,16.8,20.3,13.3,75.554,0.2
2018,Maryland,1.8,2.5,38.8,35.8,14.2,3.9,3.0,331.6,14.9,2.8,12.2,0.5,84.6,1.4,3.3,3.1,6.6,13.0,14.1,24.0,34.5,115.283,0.0
2018,New Mexico,4.1,8.4,65.5,15.5,4.1,1.4,1.0,193.3,9.2,3.2,6.0,0.1,90.7,3.4,8.8,7.7,12.3,19.5,15.9,19.1,13.2,72.549,0.0
2018,Alabama,5.7,18.3,58.9,12.9,2.8,1.1,0.5,164.2,10.3,2.5,7.8,0.3,89.4,3.0,7.7,6.8,10.7,19.3,17.1,20.5,14.9,78.432,0.1
2018,Tennessee,3.6,13.1,58.6,17.2,4.8,1.6,1.2,192.6,9.4,1.5,7.9,0.3,90.3,2.3,6.8,6.6,11.2,20.2,17.0,20.6,15.4,78.713,0.1
