Year,NAME,Home Value <$50k (%),Home Value $50k-$90k (%),Home Value $100k-$149k (%),Home Value $150k-$199k (%),Home Value $200k-$299k (%),Home Value $300k-$499k (%),Home Value $500k+ (%),Median Home Value ($)(1000X),2nd Mortgage or Equity Loan (%),2nd Mortgage Only (%),Equity Loan Only (%),Both 2nd & Equity Loan (%),No 2nd or Equity Loan (%),Income <$10k (%),"Income $10k-$24,999 (%)","Income $25k-$34,999 (%)","Income $35k-$49,999 (%)","Income $50k-$74,999 (%)","Income $75k-$99,999 (%)","Income $100k-$149,999 (%)",Income $150k+ (%),Median Income ($)(1000X),Median Housing Cost (monthly) ($),Median Real Estate Taxes ($),Region,Population,Net Population Change,Net Migration,Net Migration Change
2011,Alabama,8.7,22.4,22.2,18.5,16.2,8.7,3.4,142.2,15.2,3.9,11.3,0.6,84.2,3.2,10.5,8.6,14.1,21.7,16.9,16.4,8.7,65.045,1134,585,3,4799069,13632,2772,0.578433568
2011,Alaska,2.0,2.9,6.2,17.6,36.3,27.7,7.3,255.0,12.0,3.4,8.6,0.6,87.4,0.6,3.7,3.0,8.6,17.9,19.7,26.3,20.2,94.96600000000001,1794,3074,4,722128,8218,422,0.58772818
2011,Arizona,5.2,18.0,21.7,18.0,18.1,13.2,5.9,161.1,19.0,4.9,14.2,0.7,80.3,3.3,9.4,8.2,14.2,21.1,15.5,17.4,10.9,66.79,1365,1434,4,6472643,65471,27551,4.2781670389999995
2011,Arkansas,11.0,29.6,22.0,16.0,12.5,6.7,2.1,120.7,8.5,3.2,5.3,0.4,91.1,3.5,11.0,9.1,16.1,22.6,15.2,15.2,7.4,60.34,988,732,3,2940667,18703,9658,3.2947664619999997
2011,California,1.6,3.8,7.0,9.0,17.9,28.5,32.2,363.6,23.0,6.3,16.6,1.4,75.6,2.3,6.0,5.3,9.8,17.3,15.3,21.6,22.3,89.279,2182,3291,4,37638369,318867,47853,1.2767972029999999
2011,Colorado,2.3,4.7,11.7,18.4,29.2,22.8,10.9,238.8,23.2,8.9,14.3,0.9,75.9,2.5,5.9,5.9,11.6,20.4,16.6,21.3,15.9,80.07600000000001,1560,1530,4,5121108,73759,39632,7.795086315
2011,Connecticut,1.3,2.1,7.1,15.2,29.0,28.2,17.2,282.9,24.8,5.1,19.7,0.7,74.6,1.8,3.7,4.5,8.4,16.7,17.1,23.3,24.5,96.23899999999999,2052,5152,1,3588283,9169,869,0.242486917
2011,Delaware,2.6,3.0,9.4,18.2,34.7,26.9,5.3,242.2,23.5,6.0,17.5,1.1,75.3,2.3,5.6,5.9,11.5,20.1,18.5,21.4,14.7,80.85600000000001,1567,1300,3,907381,7788,4381,4.8489906330000005
2011,District of Columbia,1.1,1.0,2.5,4.7,16.3,33.3,41.1,426.8,21.1,5.9,15.2,1.0,77.9,2.5,4.1,3.6,7.2,14.4,13.1,20.4,34.9,108.425,2224,2600,3,619800,14574,9951,16.2461858
2011,Florida,5.2,20.0,20.7,17.6,18.5,11.9,6.0,159.1,20.4,4.7,15.7,1.0,78.6,3.7,10.6,9.4,14.0,21.2,14.9,15.5,10.8,63.474,1470,1882,3,19053237,207700,169141,8.925935177000001
