Year,NAME,Home Value <$50k (%),Home Value $50k-$90k (%),Home Value $100k-$149k (%),Home Value $150k-$199k (%),Home Value $200k-$299k (%),Home Value $300k-$499k (%),Home Value $500k+ (%),Median Home Value ($)(1000X),2nd Mortgage or Equity Loan (%),2nd Mortgage Only (%),Equity Loan Only (%),Both 2nd & Equity Loan (%),No 2nd or Equity Loan (%),Income <$10k (%),"Income $10k-$24,999 (%)","Income $25k-$34,999 (%)","Income $35k-$49,999 (%)","Income $50k-$74,999 (%)","Income $75k-$99,999 (%)","Income $100k-$149,999 (%)",Income $150k+ (%),Median Income ($)(1000X),Median Housing Cost (monthly) ($),Median Real Estate Taxes ($),Region,Population,Net Population Change,Net Migration,Net Migration Change
2012,Alabama,8.5,23.0,21.7,17.9,16.8,9.0,3.2,142.6,14.2,4.1,10.1,0.5,85.4,3.2,9.8,8.9,13.7,21.5,17.1,16.7,9.0,65.297,1104,597,3,4815588,16519,5703,1.186313771
2012,Alaska,2.3,2.7,7.4,14.3,38.1,28.9,6.3,260.4,9.6,2.6,7.0,0.4,90.0,1.2,4.5,4.4,8.3,16.5,18.8,24.4,21.8,94.352,1831,3098,4,730443,8315,1029,1.416798215
2012,Arizona,5.7,18.3,21.9,17.0,18.3,12.9,5.9,159.7,15.7,3.7,12.0,0.7,83.6,2.8,8.1,8.0,13.4,22.0,15.4,18.4,11.9,69.604,1320,1393,4,6554978,82335,44944,6.8998015829999995
2012,Arkansas,11.0,28.7,22.6,16.1,13.1,6.2,2.1,121.3,7.9,3.4,4.5,0.2,91.9,2.8,10.6,9.9,14.5,23.5,15.9,15.4,7.4,61.20399999999999,975,762,3,2952164,11497,2439,0.827785491
2012,California,1.7,4.1,7.2,9.3,18.0,28.5,31.3,358.1,20.9,5.6,15.3,1.1,78.0,2.3,5.7,5.2,9.6,17.1,15.2,21.8,23.2,91.024,2119,3336,4,37948800,310431,56502,1.4950156419999998
2012,Colorado,2.6,4.9,11.4,18.0,28.5,23.6,11.0,240.5,19.9,7.5,12.3,1.0,79.1,2.0,5.7,5.8,11.1,20.2,17.7,20.8,16.7,81.304,1551,1539,4,5192647,71539,38739,7.512103982
2012,Connecticut,1.4,3.0,8.5,16.1,28.9,26.0,16.2,270.9,24.1,5.5,18.6,0.8,75.1,1.4,4.4,4.0,8.2,16.9,16.3,24.4,24.4,97.646,2027,5139,1,3594547,6264,-1471,-0.40958786399999997
2012,Delaware,3.0,3.5,10.2,20.2,34.3,23.2,5.6,233.5,21.1,3.8,17.3,0.6,78.3,2.1,6.3,5.2,11.9,20.9,18.4,21.6,13.7,79.61,1517,1322,3,915179,7798,4414,4.843736283
2012,District of Columbia,1.0,0.7,2.0,5.5,15.4,30.4,45.1,464.2,21.2,7.1,14.1,0.6,78.2,2.4,3.8,3.8,6.1,13.1,11.3,21.8,37.7,119.398,2262,2833,3,634924,15124,10095,16.09118818
2012,Florida,5.9,21.2,20.0,17.8,17.8,11.7,5.8,156.7,19.1,4.6,14.5,0.6,80.3,3.4,10.1,9.3,14.5,20.8,15.1,16.0,10.9,64.414,1425,1819,3,19297822,244585,202523,10.56153365
