Year,NAME,Home Value <$50k (%),"Home Value $50k-$99,999k (%)","Home Value $100k-$299,999 (%)","Home Value $300k-$499,999k (%)","Home Value $500k-$749,999k (%)","Home Value $750k-$999,999k (%)","Home Value $1,000,000+ (%)",Median Home Value ($)(1000X),2nd Mortgage or Equity Loan (%),2nd Mortgage Only (%),Equity Loan Only (%),Both 2nd & Equity Loan (%),No 2nd or Equity Loan (%),Income <$10k (%),"Income $10k-$24,999 (%)","Income $25k-$34,999 (%)","Income $35k-$49,999 (%)","Income $50k-$74,999 (%)","Income $75k-$99,999 (%)","Income $100k-$149,999 (%)",Income $150k+ (%),Median Income ($)(1000X),Median Housing Cost (monthly) ($),Median Real Estate Taxes ($),Region,Population,Net Population Change,Net Migration,Net Migration Change
2018,Alaska,1.3,2.4,49.0,36.6,8.2,1.8,0.7,292.6,7.0,2.1,4.9,0.6,92.4,1.5,4.4,3.0,5.6,16.1,15.2,27.6,26.6,105.294,1895,3590,4,735139,-4561,-10220,-13.85913988
2018,Maine,3.4,9.1,62.4,18.8,4.1,1.1,1.0,208.3,15.3,1.2,14.1,0.3,84.4,2.0,5.7,5.5,11.3,20.1,18.4,22.2,14.8,81.392,1349,2714,1,1339057,4445,6642,4.968453462
2018,North Carolina,2.9,11.7,58.1,19.0,5.4,1.8,1.2,199.6,13.3,1.9,11.4,0.3,86.3,2.1,6.5,6.0,11.4,19.0,16.5,20.6,17.9,81.50399999999999,1284,1625,3,10381615,113382,86828,8.409553426
2018,Missouri,4.9,15.4,60.7,13.7,3.5,1.0,0.8,170.8,10.0,1.9,8.2,0.2,89.8,1.9,5.5,6.2,11.3,19.5,17.1,21.5,16.9,81.877,1249,1710,2,6121623,14953,3058,0.500151575
2018,Pennsylvania,3.4,11.9,57.6,19.2,5.5,1.4,1.0,202.0,15.4,2.0,13.5,0.4,84.1,1.9,5.3,4.9,9.3,17.9,16.5,23.0,21.2,90.755,1451,3189,1,12800922,13281,10944,0.8553821490000001
2018,Michigan,5.3,14.7,59.2,15.4,3.6,1.0,0.7,175.4,11.8,2.0,9.8,0.3,87.8,1.9,5.7,5.9,10.9,19.5,16.9,21.7,17.5,83.258,1270,2574,2,9984072,10958,-2994,-0.300042301
2018,Nebraska,4.0,12.9,65.1,14.3,2.5,0.7,0.6,172.5,10.4,2.8,7.6,0.5,89.2,1.4,4.3,4.6,8.7,19.1,18.1,26.2,17.5,90.685,1353,2903,2,1925614,9667,-54,-0.028113572000000003
2018,Oregon,1.5,1.5,33.5,40.7,16.6,4.1,2.0,355.8,12.8,2.1,10.7,0.5,86.7,1.3,5.0,5.0,9.3,17.7,16.5,22.4,22.7,91.51700000000001,1690,3265,4,4181886,38261,31019,7.451554625
2018,Wyoming,2.6,3.7,63.2,21.8,4.8,2.5,1.5,240.1,8.8,3.4,5.4,0.4,90.8,1.4,4.7,5.0,10.1,18.4,19.4,25.6,15.4,88.588,1440,1406,4,577601,-1330,-3311,-5.725738674
2018,California,1.0,1.0,14.1,27.1,25.7,13.5,17.6,566.1,12.9,2.6,10.3,0.6,86.6,2.0,4.1,3.7,6.6,13.3,13.2,22.1,34.9,113.027,2345,4479,4,39461588,103091,-83981,-2.130954312
