Year,Region,NAME,value
2012.0,3,Alabama,2509.0
2012.0,4,Alaska,6995.0
2012.0,4,Arizona,38916.0
2012.0,3,Arkansas,3472.0
2012.0,4,California,3472.0
2012.0,4,Colorado,15150.0
2012.0,1,Connecticut,6764.0
2012.0,3,Delaware,474.0
2012.0,3,Florida,21004.0
2012.0,3,Georgia,10790.0
2012.0,4,Hawaii,11906.0
2012.0,4,Idaho,5331.0
2012.0,2,Illinois,21251.0
2012.0,2,Indiana,5891.0
2012.0,2,Iowa,2284.0
2012.0,2,Kansas,2790.0
2012.0,3,Kentucky,3763.0
2012.0,3,Louisiana,5180.0
2012.0,1,Maine,1256.0
2012.0,3,Maryland,7902.0
2012.0,1,Massachusetts,14356.0
2012.0,2,Michigan,8921.0
2012.0,2,Minnesota,8539.0
2012.0,3,Mississippi,2556.0
2012.0,2,Missouri,6729.0
2012.0,4,Montana,3060.0
2012.0,2,Nebraska,3302.0
2012.0,4,Nevada,27968.0
2012.0,1,New Hampshire,1327.0
2012.0,1,New Jersey,12057.0
2012.0,4,New Mexico,5921.0
2012.0,1,New York,31261.0
2012.0,3,North Carolina,11195.0
2012.0,2,North Dakota,1827.0
2012.0,2,Ohio,10653.0
2012.0,3,Oklahoma,6671.0
2012.0,4,Oregon,22724.0
2012.0,1,Pennsylvania,10466.0
2012.0,1,Rhode Island,1648.0
2012.0,3,South Carolina,4110.0
2012.0,2,South Dakota,826.0
2012.0,3,Tennessee,5802.0
2012.0,3,Texas,43005.0
2012.0,4,Utah,12172.0
2012.0,1,Vermont,544.0
2012.0,3,Virginia,15625.0
2012.0,4,Washington,34569.0
2012.0,3,West Virginia,1413.0
2012.0,2,Wisconsin,5681.0
2012.0,4,Wyoming,1886.0
2012.0,0,United States,1886.0
2012.0,1,Northeast Region,1886.0
2012.0,2,Midwest Region,1886.0
2012.0,3,South Region,1886.0
2012.0,4,West Region,1886.0
2012.0,3,District of Columbia,1886.0
2012.0,X,Puerto Rico,1886.0
