Year,State,Home Value <$50k (%),Home Value $50k-$90k (%),Home Value $100k-$149k (%),Home Value $150k-$199k (%),Home Value $200k-$299k (%),Home Value $300k-$499k (%),Home Value $500k+ (%),Median Home Value ($)(1000X),2nd Mortgage or Equity Loan (%),2nd Mortgage Only (%),Equity Loan Only (%),Both 2nd & Equity Loan (%),No 2nd or Equity Loan (%),Income <$10k (%),"Income $10k-$24,999 (%)","Income $25k-$34,999 (%)","Income $35k-$49,999 (%)","Income $50k-$74,999 (%)","Income $75k-$99,999 (%)","Income $100k-$149,999 (%)",Income $150k+ (%),Median Income ($)(1000X),Median Housing Cost (monthly) ($)
2017,Alabama,45154,134584,413329,81925,21023,5464,4706,158.0,75725,19035,56690,1302,629158,19694,54860,50583,83271,146556,114273,145414,91534,74.553,1205
2017,Alaska,2324,1966,51086,37285,7595,1480,561,286.9,8092,2222,5870,353,93852,1811,3137,3884,7240,15288,16736,27454,26747,103.942,19
2017,Arizona,25820,58155,618612,253759,70881,21698,15426,238.8,98283,23164,75119,3130,962938,29096,69658,67092,120361,202392,171564,220445,183743,80.853,822
2017,Arkansas,29303,92956,246125,36118,7160,2800,1706,142.8,25376,8099,17277,1413,389379,12622,33571,30251,53837,89343,70528,73921,52095,71.081,1194
2017,California,48868,55518,834760,1430771,1234904,658249,763074,529.0,684653,140742,543911,27618,4313873,97564,224843,198282,363068,691382,681502,1134975,1634528,108.609,1023
2017,Colorado,14253,20445,327140,399935,156075,45543,31018,357.7,136833,27999,108834,4241,853335,21169,40647,40402,86161,162877,159994,242688,240471,97.207,158
2017,Connecticut,7102,16388,316912,165248,55349,21382,28861,277.9,109972,18569,91403,4291,496979,8430,19243,22118,43134,88146,88840,148537,192794,109.56,0
2017,Delaware,3254,3448,96626,46527,9708,2696,1812,258.9,23980,4619,19361,683,139408,6118,7594,8816,14719,30461,26078,34101,36184,87.389,7
2017,District of Columbia,1358,505,10058,23000,23233,16598,15518,609.9,14860,2097,12763,537,74873,1934,4337,1919,2923,9562,9283,18117,42195,138.977,0
2017,Florida,85497,230743,1605911,637495,176490,53938,59937,232.1,316132,67785,248347,10636,2523243,82686,214525,194641,343625,551073,447591,542710,473160,76.655,1858
2017,Georgia,59335,177595,899267,261768,86970,24851,19772,191.1,169535,45894,123641,5329,1354694,39021,99530,89928,155557,284625,243037,319362,298498,84.284,710
2017,Hawaii,867,748,18227,37900,55281,32032,27159,628.3,31629,4291,27338,1532,139053,3784,5457,5180,11534,22778,25243,44537,53701,112.506,6
2017,Idaho,5943,17401,181921,59278,10403,3083,2268,214.2,32866,10403,22463,684,246747,5982,17983,20164,38478,66691,48567,52944,29488,70.758,291
2017,Illinois,70274,257803,1088733,396784,119236,40911,33698,208.8,256830,48123,208707,8440,1742169,39223,95075,94222,186557,352198,326784,450051,463329,92.291,916
2017,Indiana,53907,251649,695356,117779,25648,6028,6438,148.0,142016,27640,114376,4978,1009811,22628,77260,75115,136144,244184,207800,237940,155734,77.197,935
2017,Iowa,26956,108643,331603,69138,12656,3119,2067,157.9,74009,18342,55667,3264,476909,8117,27868,28891,61018,115429,104827,128948,79084,82.626,267
2017,Kansas,25079,84493,251340,58500,13406,3268,2534,165.3,44446,8637,35809,1497,392677,6203,19443,23257,45624,89903,76745,105423,72022,85.462,243
2017,Kentucky,39667,116039,414812,71167,16490,5753,4008,155.6,86783,15489,71294,2821,578332,18067,49801,46117,77137,135224,115417,137924,88249,76.392,1252
2017,Louisiana,30229,75408,379871,79048,21302,5401,5286,179.7,48683,12609,36074,1955,545907,18778,46909,43115,63247,108862,95783,126337,93514,79.133,680
2017,Maine,8567,23437,155384,41897,9619,2484,1913,201.2,37410,3743,33667,1005,204886,3942,15713,16991,25296,50172,45735,53298,32154,80.029,565
2017,Maryland,18839,33657,430420,370387,143368,44757,31605,323.4,163383,30486,132897,5582,904068,17205,40420,35815,69163,147045,148281,267473,347631,111.824,41
2017,Massachusetts,10234,10074,334478,416900,222042,76041,65788,391.5,203521,23409,180112,4344,927692,13368,39969,36272,68697,142394,157405,275233,402219,117.542,102
2017,Michigan,103646,279498,993705,234282,51987,14424,11066,168.1,213938,38104,175834,5066,1469604,33649,101127,106759,193727,331261,289719,358918,273448,80.952,1592
2017,Minnesota,24439,65268,628497,236021,58516,14280,11872,232.7,156573,40699,115874,5171,877149,13291,38070,44757,88227,187138,176508,259728,231174,95.372,203
2017,Mississippi,31424,86009,208342,32374,6099,1917,1204,143.4,29322,6738,22584,1521,336526,13338,34315,26651,46776,77208,64544,65359,39178,70.491,984
2017,Missouri,46983,165937,601467,130085,27677,9129,7591,165.6,100912,20828,80084,2749,885208,19090,61568,59173,114585,202556,174122,209363,148412,79.793,1257
2017,Montana,4903,9297,95524,41558,9994,3365,2497,248.1,17970,4438,13532,780,148388,4141,9908,10838,16822,35770,30328,37358,21973,78.46,45
2017,Nebraska,11124,46385,197716,38331,7254,2058,1960,165.8,31491,7113,24378,1256,272081,4521,14293,13982,29995,62095,56707,73850,49385,86.212,119
2017,Nevada,6598,13853,240511,122406,29769,6461,7788,266.0,34310,8037,26273,1002,392074,7424,24926,24897,47404,87965,70696,92457,71617,81.726,136
2017,New Hampshire,3885,7460,137183,72716,15270,3922,2234,270.2,35054,5824,29230,872,206744,2842,8057,8847,16906,38831,36815,65412,64960,105.01,0
2017,New Jersey,16722,30151,520612,473086,215715,70594,48520,341.3,217161,29268,187893,6792,1151447,20563,46525,45988,78058,169818,185096,331370,497982,119.221,116
2017,New Mexico,11005,25343,182146,43100,11010,4084,2958,189.3,23671,10180,13491,785,255190,11355,23429,20839,35448,55504,44006,52730,36335,71.319,152
2017,New York,53976,209979,833208,596475,366757,155703,178326,331.5,339747,36801,302946,9843,2044834,42386,104588,94135,180919,361200,353245,544158,713793,103.477,1138
2017,North Carolina,49275,204520,970894,278898,84255,25085,18873,190.3,232337,32376,199961,7713,1391750,36576,106691,104572,184615,326572,267593,325906,279275,79.783,947
2017,North Dakota,4873,9940,64549,23823,4685,751,689,221.7,11777,2799,8978,732,96801,1110,4057,4290,8189,20889,21243,29059,20473,92.387,18
2017,Ohio,87183,397797,1163097,210657,45724,13193,9685,153.5,295528,50303,245225,6345,1625463,32670,112453,117631,211928,387230,341785,422719,300920,81.672,1467
2017,Oklahoma,32506,105781,318348,52107,11435,3768,3050,152.2,33779,11157,22622,648,492568,10995,38010,36092,61672,110657,93460,105092,71017,76.338,372
2017,Oregon,10467,12674,262745,252858,95489,22447,15811,332.4,85531,15233,70298,2617,584343,14334,35880,31751,68391,123576,116338,148411,133810,87.879,252
2017,Pennsylvania,71860,253040,1202092,380714,108056,27426,20376,198.8,334509,42922,291587,9180,1719875,38286,102821,103858,186798,389635,359660,467110,415396,89.17,1408
2017,Rhode Island,2290,2674,100592,49202,11860,2981,2776,259.5,28922,5428,23494,1140,142313,2268,9170,7358,12620,30412,29268,43276,38003,95.844,0
2017,South Carolina,35970,102983,442247,116492,33498,12370,10973,181.4,80306,14932,65374,3034,671193,21048,55951,49313,89267,152016,126787,149495,110656,76.61,720
2017,South Dakota,5949,16476,83494,17713,3582,1081,754,185.0,12109,2461,9648,163,116777,2126,5427,7487,13740,28255,25838,29674,16502,82.017,79
2017,Tennessee,40304,149259,587481,150512,43421,14397,11711,178.4,98665,22173,76492,3865,894555,23393,74482,68935,116425,210671,163932,192503,146744,75.616,1218
2017,Texas,125099,416233,1984947,636572,173820,51964,50645,198.5,173714,59863,113851,6398,3259168,68206,177864,170042,305691,593456,542758,792025,789238,92.899,1042
2017,Utah,7120,7964,258233,153320,40138,10535,7020,279.1,69929,19958,49971,2152,412249,6066,18627,20855,43228,98513,90913,121602,84526,89.342,277
2017,Vermont,1910,6417,67184,27320,5938,910,617,233.2,19867,2315,17552,574,89855,1775,7227,7219,10521,21758,20446,25369,15981,81.746,0
2017,Virginia,23601,65228,635952,391009,201464,72921,41238,297.0,219699,41249,178450,6980,1204734,24030,59586,59043,110849,230738,219202,321495,406470,101.119,653
2017,Washington,17877,24276,447400,400744,191442,81460,64294,352.1,158660,31500,127160,5721,1063112,20045,47480,47815,95848,198254,198004,301437,318610,100.562,482
2017,West Virginia,15731,53273,139070,23458,4851,1261,711,147.9,22960,4507,18453,509,214886,6160,21375,19252,29624,51987,39064,42736,28157,70.452,481
2017,Wisconsin,24460,120486,652508,156854,33277,9606,6624,186.1,158915,29740,129175,5009,839891,15614,51008,52402,102309,195481,186340,238675,161986,85.681,409
2017,Wyoming,3171,3752,59550,18748,4541,1776,1319,226.8,9446,3591,5855,148,83263,1787,4707,4488,8907,18461,18176,24393,11938,85.603,28
2017,Puerto Rico,5314,74970,215060,12159,2833,600,1244,130.2,7738,6123,1615,1125,303317,27833,71254,41474,55453,61986,26842,18207,9131,38.982,2333
