Year,Region,NAME,Population,Net Population Change,Net Migration,Net Migration Change
2015,0,United States,320635163,2334155,1041605,3.260435227
2015,1,Northeast Region,56034684,28673,-115512,-2.061965074
2015,2,Midwest Region,67860583,115416,-94140,-1.3884367
2015,3,South Region,120997341,1373304,875544,7.277358372999999
2015,4,West Region,75742555,816762,375713,4.987285053
2015,3,Alabama,4852347,10548,3036,0.626357391
2015,4,Alaska,737498,1215,-5893,-7.997117618
2015,4,Arizona,6829676,99263,65072,9.597577125
2015,3,Arkansas,2978048,10656,3197,1.075446056
2015,4,California,38918045,321073,76932,1.984957315
2015,4,Colorado,5450623,100522,69676,12.90209805
2015,1,Connecticut,3587122,-7402,-13488,-3.756241953
2015,3,Delaware,941252,8765,6290,6.71384862
2015,3,District of Columbia,675400,13072,8225,12.29696919
2015,3,Florida,20209042,363131,330283,16.49149357
2015,3,Georgia,10178447,111169,57895,5.719232085
2015,4,Hawaii,1422052,7514,450,0.317282371
2015,4,Idaho,1651059,19947,9761,5.947892416
2015,2,Illinois,12858913,-25580,-77601,-6.028805979
2015,2,Indiana,6608422,14778,-6171,-0.934853681
2015,2,Iowa,3120960,11610,1767,0.567226992
2015,2,Kansas,2909011,8536,-3838,-1.321287288
2015,3,Kentucky,4425976,11627,2142,0.484597569
2015,3,Louisiana,4664628,20615,242,0.0519947
2015,1,Maine,1328262,-2251,-630,-0.473902455
2015,3,Maryland,5985562,28279,1645,0.275478749
2015,1,Massachusetts,6794228,31632,17709,2.612558812
2015,2,Michigan,9931715,1867,-15172,-1.52777503
2015,2,Minnesota,5482032,30953,4535,0.8295900409999999
2015,3,Mississippi,2988471,-1997,-9109,-3.047028913
2015,2,Missouri,6071732,15530,744,0.122691961
2015,4,Montana,1030475,8606,5659,5.514670055
2015,2,Nebraska,1891277,11956,1748,0.927173886
2015,4,Nevada,2866939,49311,35254,12.40340733
2015,1,New Hampshire,1336350,3009,2752,2.061661818
2015,1,New Jersey,8867949,3424,-27315,-3.080788389
2015,4,New Mexico,2089291,-277,-8695,-4.16142301
2015,1,New York,19654666,3617,-82040,-4.174456564
2015,3,North Carolina,10031646,98759,66008,6.612526324
2015,2,North Dakota,754066,16665,11421,15.31512263
2015,2,Ohio,11617527,14827,-5808,-0.500253507
2015,3,Oklahoma,3909500,31313,17574,4.5132784610000005
2015,4,Oregon,4015792,52548,41961,10.51781193
2015,1,Pennsylvania,12784826,-3487,-11862,-0.927692138
2015,1,Rhode Island,1056065,129,-620,-0.587120934
2015,3,South Carolina,4891938,68321,56354,11.60077834
2015,2,South Dakota,853988,4859,387,0.45446085
2015,3,Tennessee,6591170,49947,34080,5.19021933
2015,3,Texas,27470056,505723,289708,10.64430061
2015,4,Utah,2981835,44956,11419,3.858608475
2015,1,Vermont,625216,2,-18,-0.028790096
2015,3,Virginia,8361808,50815,12684,1.521519989
2015,4,Washington,7163657,109002,73996,10.4085492
2015,3,West Virginia,1842050,-7439,-4710,-2.5517812490000003
2015,2,Wisconsin,5760940,9415,-6152,-1.068754606
2015,4,Wyoming,585613,3082,121,0.20716624
2015,X,Puerto Rico,3473232,-61642,-64757,-18.48059947
