Current residence,Population (1yr ago) Est,MOE,Same house (1yr ago) Est,Same state of residence (1yr ago) Est,Different state of residence (1yr ago) Total Est,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia ,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Abroad(1yr ago) Est,Region
United States1,"305,628,607","+/- 29,823","258,552,348","38,582,885","6,743,229","99,221","94,692","176,768","64,264","573,988","140,620","89,360","30,055","56,052","427,853","244,992","49,218","53,122","277,579","130,170","66,922","90,681","92,999","88,131","32,209","159,866","144,152","178,207","104,765","68,363","148,055","35,870","43,531","109,409","38,399","193,972","50,438","363,139","207,025","24,450","188,013","90,616","100,185","209,810","24,948","117,569","27,915","143,135","411,641","75,541","18,380","232,002","166,162","49,349","111,240","28,186","1,750,145",
Alabama,"4,729,509","+/- 3,716","3,987,155","620,465","108,723",,"3,013",676,"1,481","3,827","1,278",454,811,211,"15,062","21,644",267,304,"2,503","3,945",669,649,"1,967","1,901",97,716,435,"2,334",386,"7,233","1,373",229,169,265,0,356,650,"3,686","2,371",169,"2,222",880,485,"1,477",0,"2,368",31,"7,409","6,500","1,336",0,"2,490","1,171",41,"1,155",27,"13,166",South_states
Alaska,"702,974","+/- 1,600","565,031","95,878","36,326",477,,"1,354",47,"3,906","1,930",0,0,14,"2,315","1,251","1,705",895,388,9,262,106,"1,440",100,574,704,107,923,530,263,0,616,215,240,316,413,421,255,698,69,156,"1,455","1,793",126,0,121,531,477,"4,123","1,274",353,714,"2,421",0,158,81,"5,739",West_states
Arizona,"6,332,786","+/- 4,439","5,069,002","1,001,991","222,725",416,"3,109",,689,"47,164","7,687",479,738,0,"7,712","4,261","1,966","2,147","12,250","2,690","3,008","1,935","1,705","2,014",241,"1,284","1,449","6,354","5,421",272,"4,567","1,343","1,750","10,342",64,"1,782","4,419","6,618","4,463",826,"5,225","2,910","5,430","5,535",403,"2,310","1,351","3,061","14,705","7,164",664,"3,413","12,645",595,"5,556",593,"39,068",West_states
Arkansas,"2,888,304","+/- 2,453","2,387,806","412,997","79,127","1,405",934,777,,"4,457","2,535",451,0,154,"3,578","3,921",129,618,"3,221",722,85,"3,611","2,540","4,012",0,306,190,"1,506",222,"2,764","7,320",85,394,67,0,77,0,289,"1,561",0,"1,137","8,607",239,731,0,"1,496",243,"2,653","13,707",361,0,494,264,0,821,443,"8,374",South_states
California,"36,907,897","+/- 10,889","30,790,221","5,413,287","444,749","3,364","9,579","33,854","4,172",,"15,662","4,631",643,"3,683","20,362","8,820","9,528","5,719","16,482","6,550","3,163","3,857","3,394","2,989","1,796","10,626","11,969","10,435","5,095","2,757","6,921","3,009","3,062","27,724","1,614","10,108","4,632","20,981","9,593",392,"8,170","5,708","20,913","9,948",526,"5,016","1,604","4,349","36,582","10,653",525,"14,232","30,544","1,446","6,031","1,336","259,640",West_states
Colorado,"4,988,190","+/- 3,936","4,042,039","725,413","186,366",954,"2,225","12,287","1,034","26,089",,459,486,479,"8,849","6,445","2,355",839,"6,950","3,296","2,140","4,308","1,961",968,532,"1,532","2,242","4,587","2,878","1,277","1,978","2,042","4,065","4,131",791,"1,259","3,921","4,594","2,940",802,"2,838","3,464","4,330","3,928",192,"1,231","1,847","1,628","22,253","4,748",350,"2,739","7,583",623,"2,499","4,418","34,372",West_states
Connecticut,"3,541,146","+/- 2,779","3,100,742","342,904","77,333",896,0,664,334,"4,479",547,,149,331,"9,207",748,182,147,"3,391","1,074",108,0,400,0,528,"1,531","8,510",770,934,67,42,0,0,507,"1,049","3,475",112,"20,727","1,345",0,"1,296",145,640,"1,955","1,728","1,140",0,430,"1,887",0,458,"1,735","2,084",442,"1,092",47,"20,167",Northeast_states
Delaware,"889,812","+/- 1,573","764,640","90,001","30,759",128,68,60,0,353,178,714,,432,"2,362",585,0,0,612,0,0,28,163,0,294,"4,969",689,61,55,0,539,73,0,106,139,"3,678",59,"4,251",424,0,325,0,0,"7,318",149,195,0,146,178,0,0,"1,051",377,0,0,0,"4,412",South_states
District of Columbia ,"596,747","+/- 1,124","474,676","63,766","51,244",360,591,662,155,"4,205",656,926,0,,"1,100","1,597",0,0,615,711,392,83,94,0,76,"13,503","1,376",126,87,0,272,0,62,0,137,"1,924",61,"3,852","1,897",98,598,0,601,"2,378",249,380,0,591,"1,180",0,199,"7,915",284,860,391,0,"7,061",South_states
